pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j,controle_stock,methode_reassort,regle_magasin
5830,,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,Chaussée de la Hulpe 255,1170,Watermael-Boitsfort,02 672 33 99,Youbech.mesli@gmail.com,Actif,no-message,C,42,3,933.82,77.82,2026-02-11,2026-05-12,76,12/05/2026 (76j),2026-05-12,last_so,2026-06-23,34,,,
6838,,KAIO Retail invest - Delhaize Ottignies,KAIO Retail invest - Delhaize Ottignies,KAIO Retail invest - Delhaize Ottignies,"Centre commercial du Douaire, 1",1340,Ottignie,,jolan.cailleau@gmail.com,Actif,no-message,B,28,9,4776.51,398.04,2025-09-05,2026-05-28,60,28/05/2026 (60j),2026-05-28,last_so,2026-06-25,32,,,
5580,,GIMALEX SA - Delhaize Fragnée,GIMALEX SA - Delhaize Fragnée,GIMALEX SA - Delhaize Fragnée,"Rue de Fragnée, 41",4000,Liège,,g.harvie@gimalex.be,Actif,no-message,B,28,10,3862.04,321.84,2025-09-03,2026-05-29,59,29/05/2026 (59j),2026-05-29,last_so,2026-06-26,31,,,
116686,SRL Spydis - Intermarché Spy,SRL Spydis - Intermarché Spy,,SRL Spydis - Intermarché Spy,Route de Saussin 45,5190,Jemeppe-sur-Sambre,+32 71 78 74 39,Pdv09916@mousquetaires.com,Actif,no-message,B,28,8,3030.29,252.52,2025-12-03,2026-05-29,59,29/05/2026 (59j),2026-05-29,last_so,2026-06-26,31,,,
6597,Carrefour	Hyper Wépion - 5400102606240,Carrefour	Hyper Wépion - 5400102606240,Carrefour Belgium,Carrefour Belgium,Chaussée de Dinant 1147,5100,Wepion,+32 2 446 15 13,veronique_defraine@carrefour.com,Actif,no-message,B,28,6,3979.63,331.64,2025-09-16,2026-06-02,55,02/06/2026 (55j),2026-06-02,picking,2026-06-30,27,,,
2914,Affilié 044725 - Delhaize Kraainem,Affilié 044725 - Delhaize Kraainem,Delhaize Le Lion S.A,Affilié 044725 - Delhaize Kraainem,"Wezembeeklaan, 112",1950,Kraainem,027 84 36 48,supplier@delhaize-kraainem.be,Actif,no-message,A,21,7,6243.52,520.29,2025-08-14,2026-06-09,48,09/06/2026 (48j),2026-06-10,picking,2026-07-01,26,,,
3153,NIVALIM - Intermarché Nivelles,NIVALIM - Intermarché Nivelles,,NIVALIM - Intermarché Nivelles,Rue Tienne-à-Deux-Vallées 6/8,1400,Nivelles,067 21 74 94,pdv09840@mousquetaires.com,Actif,no-message,B,28,11,4423.89,368.66,2025-08-12,2026-06-04,53,04/06/2026 (53j),2026-06-04,picking,2026-07-02,25,,,
5582,Affilié 043540 - Delhaize Genval,Affilié 043540 - Delhaize Genval,Delhaize Le Lion S.A,Affilié 043540 - Delhaize Genval,13 Avenue Albert 1er,,Genval,026541702,gilles.verleyen@delhaize-genval.be,Actif,no-message,B,28,9,3557.5,296.46,2025-08-12,2026-06-04,53,04/06/2026 (53j),2026-06-04,picking,2026-07-02,25,,,
2971,Gerpidis SA - Intermarché Gerpinnes,Gerpidis SA - Intermarché Gerpinnes,,Gerpidis SA - Intermarché Gerpinnes,Route De Philippeville 196,6280,Gerpinnes,071216909,pdv09863@mousquetaires.com,Actif,no-message,B,28,6,2520.48,210.04,2025-09-01,2026-06-05,52,05/06/2026 (52j),2026-06-05,picking,2026-07-03,24,,,
2979,HODICA SA - Carrefour Market Hotton,HODICA SA - Carrefour Market Hotton,,HODICA SA - Carrefour Market Hotton,Rue de la Jonction 16,6990,HOTTON,084 46 73 44,carrefour.market.hotton@gmail.com,Actif,no-message,B,28,7,2174.68,181.22,2025-09-01,2026-06-05,52,05/06/2026 (52j),2026-06-05,picking,2026-07-03,24,,,
7070,Delhaize Ciney - Rochefort - Neuchateau - Bastogne,Delhaize Ciney - Rochefort - Neuchateau - Bastogne,,Delhaize Ciney - Rochefort - Neuchateau - Bastogne,,,,,super@schnongs.be,Actif,no-message,B,28,1,609.56,50.8,2026-06-05,2026-06-05,52,05/06/2026 (52j),2026-06-05,picking,2026-07-03,24,,,
121818,Carrefour Hyper de Ans - 5400102606394,Carrefour Hyper de Ans - 5400102606394,Carrefour Belgium,Carrefour Belgium,"Rue Jean Jaures, 33",4430,Ans,+32 4 239 87 11,Nathalie_denee@carrefour.com,Actif,no-message,C,42,2,919.34,76.61,2026-03-12,2026-05-22,66,22/05/2026 (66j),2026-05-22,picking,2026-07-03,24,,,
6821,Carrefour Market Waterloo,Carrefour Market Waterloo,Carrefour Belgium,Carrefour Market Waterloo,Drève de Richelle 10,1410,Waterloo,+32 2 352 02 11,eric_darte@carrefour.com,Actif,no-message,B,28,5,1207.91,100.66,2025-10-10,2026-06-09,48,09/06/2026 (48j),2026-06-09,picking,2026-07-07,20,,,
121196,Carrefour market Angleur (Belle-Ile) - 5400102102544,Carrefour market Angleur (Belle-Ile) - 5400102102544,Carrefour Belgium,Carrefour Belgium,"Quai des Vennes, 1",4020,Liège,+32 4 344 82 11,nicolas_beroudiaux@carrefour.com,Actif,no-message,C,42,2,792.52,66.04,2026-02-16,2026-05-27,61,27/05/2026 (61j),2026-05-28,picking,2026-07-09,18,,,
10134,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,Chaussée de Huy 47,1325,Chaumont-Gistoux,+32 10 23 92 60,pdv09930@mousquetaires.com,Actif,no-message,B,28,9,2952.82,246.07,2025-08-29,2026-06-15,42,15/06/2026 (42j),2026-06-15,picking,2026-07-13,14,NON — pas de réserve,NON — pas d'appareil pour rentrer la marchandise,contrôle marchandise OUI — contact Céline
3223,SRL AD LLN - Delhaize de Louvain La Neuve,SRL AD LLN - Delhaize de Louvain La Neuve,,SRL AD LLN - Delhaize de Louvain La Neuve,Place de l'accueil 10,1348,Louvain La Neuve,010 45 86 57,Achef45040@delhaize.be,Actif,no-message,B,28,7,2837.24,236.44,2025-08-12,2026-06-15,42,15/06/2026 (42j),2026-06-15,picking,2026-07-13,14,,,
113216,Dynamic Food SRL - Spar Louvain-La-Neuve,Dynamic Food SRL - Spar Louvain-La-Neuve,,Dynamic Food SRL - Spar Louvain-La-Neuve,rue Charlemagne 7,1348,Louvain-la-Neuve,+32 10 86 03 94,spar.louvainlaneuve@gmail.com,Actif,warning,B,28,4,2200.35,183.36,2025-10-03,2026-06-15,42,15/06/2026 (42j),2026-06-15,picking,2026-07-13,14,NON — pas de réserve,NON — pas d'appareil pour rentrer la marchandise,contrôle marchandise NON
2811,BARVO S.A. - Carrefour Market Barvaux,BARVO S.A. - Carrefour Market Barvaux,,BARVO S.A. - Carrefour Market Barvaux,"Route de Marche, 26",6940,Barvaux/Ourthe,086 21 13 79,nathalie.warnier@arcadesa.be,Actif,no-message,B,28,5,2070.87,172.57,2025-10-20,2026-06-15,42,15/06/2026 (42j),2026-06-15,picking,2026-07-13,14,,,
119817,Affilié 040990 - Delhaize Barvaux,Affilié 040990 - Delhaize Barvaux,Delhaize Le Lion S.A,Affilié 040990 - Delhaize Barvaux,"Rue Petit-Barvaux, 6",6940,Barvaux-sur-Ourthe,+32 86 36 60 08,bernard@counassegroup.be,Actif,no-message,B,28,4,1839.27,153.27,2026-01-14,2026-06-15,42,15/06/2026 (42j),2026-06-15,picking,2026-07-13,14,,,
7283,Affilié 041335 - Ad Bouffioulx,Affilié 041335 - Ad Bouffioulx,Delhaize Le Lion S.A,Affilié 041335 - Ad Bouffioulx,"260, av E Vandervelde",6200,Chatelet,+32 71 38 59 34,looze24@hotmail.com,Actif,no-message,B,28,6,2656.69,221.39,2025-09-24,2026-06-16,41,16/06/2026 (41j),2026-06-16,picking,2026-07-14,13,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée
5426,DELHAIZE BOONDAEL,DELHAIZE BOONDAEL,AL RETAIL - Delhaize BOONDAEL,AL RETAIL - Delhaize BOONDAEL,120 AVENUE DU BOIS DE LA CAMBRE,1050,IXELLES,02 672 89 48,014024@delhaize.be,Actif,no-message,B,28,4,1400.02,116.67,2025-10-06,2026-06-17,40,17/06/2026 (40j),2026-06-17,picking,2026-07-15,12,,,
113627,Carrefour market Grace Hollogne,Carrefour market Grace Hollogne,Carrefour Belgium,Carrefour market Grace Hollogne,Rue de Wallonie 2A,4460,Grâce-Hollogne,+32 4 384 34 41,albert_aktan@franchisecrf.com,Actif,no-message,B,28,6,2674.18,222.85,2025-10-13,2026-06-18,39,18/06/2026 (39j),2026-06-18,picking,2026-07-16,11,Pas de réserve magasin — rien à contrôler avant remplissage,Manuel — pas d'appareil pour rentrer la marchandise,Pas de contrôle marchandise à l'entrée
5439,Affilié 045015 - Delhaize Longdoz Médiacité,Affilié 045015 - Delhaize Longdoz Médiacité,Delhaize Le Lion S.A,Affilié 045015 - Delhaize Longdoz Médiacité,Rue de Grétry 60,,Liège,043 42 49 02,achef45015@delhaize.be,Actif,no-message,B,28,1,664.36,55.36,2026-06-18,2026-06-18,39,18/06/2026 (39j),2026-06-18,picking,2026-07-16,11,Pas de réserve magasin — rien à contrôler avant remplissage,Manuel — pas d'appareil pour rentrer la marchandise,Pas de contrôle marchandise à l'entrée
123189,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,Carrefour Belgium,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,CC Porte de Trèves - Rue Gustave Delperdange 3,6600,Bastogne,+32 61 21 00 50,bastogne@orkari.be,Actif,no-message,C,42,2,660.74,55.06,2026-04-23,2026-06-04,53,04/06/2026 (53j),2026-06-04,last_so,2026-07-16,11,,,
123144,Affilié 040490 - Delhaize Ath,Affilié 040490 - Delhaize Ath,Delhaize Le Lion S.A,Affilié 040490 - Delhaize Ath,Rue de l'Abbaye 6,7800,Ath,+32 477 85 67 07,lorickvanassche@outlook.com,Actif,no-message,B,15,3,1884.06,157.0,2026-04-22,2026-07-02,25,02/07/2026 (25j),2026-07-02,picking,2026-07-17,10,,,
113746,Hyper Carrefour Arlon,Hyper Carrefour Arlon,Carrefour Belgium,Hyper Carrefour Arlon,Rue de Clairefontaine 1,6700,Arlon,+32 63 23 06 11,Christopher_kabongo@carrefour.com,Actif,no-message,B,28,6,3720.95,310.08,2025-10-17,2026-06-19,38,19/06/2026 (38j),2026-06-22,picking,2026-07-20,7,,,
5442,Affilié 042955 - Delhaize Etalle,Affilié 042955 - Delhaize Etalle,Delhaize Le Lion S.A,Affilié 042955 - Delhaize Etalle,Rue Belle-Vue 56,,Etalle,+32 63 60 82 50,laura.lobet@ad-etalle.be,Actif,no-message,B,28,5,2417.79,201.48,2025-09-11,2026-06-22,35,22/06/2026 (35j),2026-06-22,picking,2026-07-20,7,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée | reprise de marchandises notée
7003,Wonka S.A. - Intermarché Heusy,Wonka S.A. - Intermarché Heusy,,Wonka S.A. - Intermarché Heusy,Chaussée De Theux 55,4802,Heusy,+32 472 09 23 90,caroline.leidgens.intermarche@gmail.com,Actif,no-message,B,28,11,2949.99,245.83,2025-08-19,2026-06-24,33,24/06/2026 (33j),2026-06-24,picking,2026-07-22,5,,,
9046,Carrefour Hyper de Jambes - 5400102606400,Carrefour Hyper de Jambes - 5400102606400,Carrefour Belgium,Carrefour Belgium,Avenue prince de Liège 57-59,5100,Jambes,+32 81 33 20 11,,Actif,no-message,A,21,12,7372.04,614.34,2025-08-14,2026-07-01,26,01/07/2026 (26j),2026-07-03,picking,2026-07-24,3,,,
115220,SA Nalim - Intermarché Wavre,SA Nalim - Intermarché Wavre,,SA Nalim - Intermarché Wavre,Avenue des Princes 9,1300,Wavre,+32 10 24 11 48,vincent.servais-adh@mousquetaires.com,Actif,no-message,B,28,5,1804.17,150.35,2025-12-02,2026-06-26,31,26/06/2026 (31j),2026-06-26,picking,2026-07-24,3,,,
5878,,Carrefour Market Remouchamps,Carrefour Market Remouchamps,Carrefour Market Remouchamps,Avenue de la Porallée  36A,,Aywaille,043 84 05 50,,Actif,no-message,A,21,18,11529.81,960.82,2025-09-04,2026-06-24,33,24/06/2026 (33j),2026-07-17,picking,2026-08-07,0,,,
2909,DelEmbourg SRL - Delhaize Embourg,DelEmbourg SRL - Delhaize Embourg,,,Voie de l’ardenne 57,4053,Embourg,043 61 25 69,Kevin.Demarteau@affiliatesdelhaize.be,Actif,no-message,A,21,18,9950.5,829.21,2025-08-06,2026-07-16,11,16/07/2026 (11j),2026-07-16,picking,2026-08-06,0,,,
5441,Affilié 043366 - AD Fosses-la-Ville,Affilié 043366 - AD Fosses-la-Ville,Delhaize Le Lion S.A,Affilié 043366 - AD Fosses-la-Ville,Rue du Cimetière 5,,Fosses-la-Ville,071 71 29 12,ad.fosses@hotmail.be,Actif,no-message,A,21,16,8765.87,730.49,2025-08-11,2026-07-15,12,15/07/2026 (12j),2026-07-15,picking,2026-08-05,0,,,
5755,Intermarché Naninne,Intermarché Naninne,NANRETAIL SA - Intermarché Naninne,NANRETAIL SA - Intermarché Naninne,Chaussée de Marche 860,,Naninne,081 63 36 96,naninnecompta@gmail.com,Actif,no-message,A,21,13,8325.58,693.8,2025-09-02,2026-07-15,12,15/07/2026 (12j),2026-07-15,picking,2026-08-05,0,,,
116869,Chili Peppers - Intermarché Tilf,Chili Peppers - Intermarché Tilf,,Chili Peppers - Intermarché Tilf,Avenue des Ardennes 8,4130,Esneux,+32 479 32 28 39,pdv09885@mousquetaires.com,Actif,no-message,A,21,12,7325.46,610.45,2025-12-05,2026-07-09,18,09/07/2026 (18j),2026-07-09,picking,2026-07-30,0,"pas de réserve, rayon direct","manuel, pas d'appareil magasin pour encoder",contrôle marchandise OUI à la réception
5449,Affilié 048875 - AD Sombreffe,Affilié 048875 - AD Sombreffe,Delhaize Le Lion S.A,Affilié 048875 - AD Sombreffe,Chaussée de Gembloux 25,,Sombreffe,071 88 60 08,adsombreffe@gmail.com,Actif,no-message,A,21,14,6838.0,569.83,2025-08-11,2026-07-06,21,06/07/2026 (21j),2026-07-06,picking,2026-07-27,0,,,
5750,,SA Barthe - Intermarché Assesse,SA Barthe - Intermarché Assesse,SA Barthe - Intermarché Assesse,Rue Melville Wilson 3,,Assesse,083 66 05 70,PDV02021@mousquetaires.com,Actif,no-message,A,21,13,6302.54,525.21,2025-08-11,2026-07-15,12,15/07/2026 (12j),2026-07-15,picking,2026-08-05,0,Pas de réserve magasin — rien à contrôler avant remplissage,Appareil/scan disponible pour rentrer la marchandise,Pas de contrôle marchandise à l'entrée
6999,Carrefour Hyper Marche-en-Famenne - 5400102606868,Carrefour Hyper Marche-en-Famenne - 5400102606868,Carrefour Belgium,Carrefour Hyper Marche-en-Famenne - 5400102606868,Chaussée de Liège 41,6900,Marche-en-Famenne,+32 84 32 07 11,,Actif,no-message,A,21,7,5942.45,495.2,2025-08-05,2026-07-14,13,14/07/2026 (13j),2026-07-15,picking,2026-08-05,0,,,
114681,Affilié 041345 - Delhaize de Bouge,Affilié 041345 - Delhaize de Bouge,Delhaize Le Lion S.A,Affilié 041345 - Delhaize de Bouge,Chaussée de Louvain 336,5004,Namur,+32 81 21 48 88,helene.nols@affiliatesdelhaize.be,Actif,no-message,A,21,11,5210.8,434.23,2025-11-05,2026-07-06,21,06/07/2026 (21j),2026-07-06,picking,2026-07-27,0,,,
8159,N.B.S. RETAIL - Delhaize de Marche,N.B.S. RETAIL - Delhaize de Marche,,N.B.S. RETAIL - Delhaize de Marche,Avenue de France 39,6900,Marche-en-Famenne,+32 470 26 16 92,nathalie-delhaizemarche@nbs-retail.be,Actif,no-message,A,21,11,5128.35,427.36,2025-09-01,2026-07-14,13,14/07/2026 (13j),2026-07-14,picking,2026-08-04,0,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise OUI à la réception
2952,AD Delhaize Fernelmont (Fernel-Dis SRL n°43132),AD Delhaize Fernelmont (Fernel-Dis SRL n°43132),,,Rue d'Eghezée 16,5380,Fernelmont,+32 81 83 04 55,info@adfernelmont.be,Actif,no-message,B,28,11,4521.03,376.75,2025-11-24,2026-07-15,12,15/07/2026 (12j),2026-07-15,picking,2026-08-12,0,,,
114704,Affilié 048652 - Delhaize Salzinnes,Affilié 048652 - Delhaize Salzinnes,Delhaize Le Lion S.A,Affilié 048652 - Delhaize Salzinnes,Chaussée de Charleroi 22,5000,Namur,+32 81 40 80 40,nicolas@adsalzinnes.be,Actif,no-message,B,28,8,4482.56,373.55,2025-11-05,2026-07-06,21,06/07/2026 (21j),2026-07-06,picking,2026-08-03,0,,,
2924,Distri-Incourt - Delhaize Incourt,Distri-Incourt - Delhaize Incourt,,Distri-Incourt - Delhaize Incourt,chaussée de Namur 89,1315,INCOURT,010/88.72.90,delhaizeincourt@gmail.com,Actif,no-message,B,28,10,4249.43,354.12,2025-10-02,2026-07-20,7,20/07/2026 (7j),2026-07-20,picking,2026-08-17,0,,,
115879,SA VILLERSEM - Intermarché Villers Le Bouillet,SA VILLERSEM - Intermarché Villers Le Bouillet,,SA VILLERSEM - Intermarché Villers Le Bouillet,Rue du Château d'eau 1,4530,VILLERS-LE-BOUILLET,+32 85 31 69 11,PDV05449@MOUSQUETAIRES.COM,Actif,no-message,B,28,9,3935.6,327.97,2025-11-24,2026-07-03,24,03/07/2026 (24j),2026-07-03,picking,2026-07-31,0,Pas de réserve magasin — rien à contrôler avant remplissage,Manuel — pas d’appareil pour rentrer la marchandise,Contrôle marchandise à l’entrée OBLIGATOIRE
8169,Delhaize Bois-de-breux,Delhaize Bois-de-breux,,Delhaize Bois-de-breux,Rue de Herve 280,4030,Liège,+32 4 365 74 07,Olivier.landauer@affiliatesdelhaize.be,Actif,no-message,B,28,10,3909.37,325.78,2025-09-03,2026-07-08,19,08/07/2026 (19j),2026-07-08,picking,2026-08-05,0,,,
8558,SA Marer - AD Delhaize Bastogne,SA Marer - AD Delhaize Bastogne,,SA Marer - AD Delhaize Bastogne,Route de Marche 112-114,6660,Bastogne,+32 61 21 70 84,compta2@irilux.lu,Actif,no-message,B,28,9,3882.62,323.55,2025-08-13,2026-07-13,14,13/07/2026 (14j),2026-07-13,picking,2026-08-10,0,pas de réserve magasin — rien à contrôler avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée
50967,Affilié 046900 - Proxy Delhaize Rixensart,Affilié 046900 - Proxy Delhaize Rixensart,Delhaize Le Lion S.A,Affilié 046900 - Proxy Delhaize Rixensart,Place du beau site 4,1330,Rixensart,+32 2 653 71 18,bd.proxyrixensart@gmail.com,Actif,no-message,B,28,10,3795.05,316.25,2025-08-29,2026-07-17,10,17/07/2026 (10j),2026-07-17,picking,2026-08-14,0,,,
121874,INTERMADIS SA - Intermarché Hannut,INTERMADIS SA - Intermarché Hannut,,INTERMADIS SA - Intermarché Hannut,Rue de Hesbaye 1,4280,Hannut,+32 19 51 20 06,pdv95004@mousquetaires.com,Actif,no-message,B,28,5,3494.16,291.18,2026-03-06,2026-07-03,24,03/07/2026 (24j),2026-07-03,picking,2026-07-31,0,réserve magasin (voir Wereau/Benjamin/Valentin),GUN — appareil de commande disponible sur place,
119815,BARCHONEW SRL - Delhaize Barchon,BARCHONEW SRL - Delhaize Barchon,,BARCHONEW SRL - Delhaize Barchon,"Rue Champs de Tignée, 32",4671,Barchon,+32 4 362 27 33,adbarchon@proximus.be,Actif,no-message,B,28,8,3385.55,282.13,2026-01-14,2026-07-03,24,03/07/2026 (24j),2026-07-09,picking,2026-08-06,0,pas de réserve — tout en rayon,manuel — pas d'appareil de commande sur place,contrôle marchandise obligatoire à la réception
9461,Affilié 048665 - Proxy Delhaize St Michel,Affilié 048665 - Proxy Delhaize St Michel,Delhaize Le Lion S.A,Affilié 048665 - Proxy Delhaize St Michel,Rue de l'Escadron 45,1040,Etterbeek,+32 2 733 51 66,roxy.proxysaintmichel@gmaill.com,Actif,no-message,B,28,10,3131.67,260.97,2025-08-06,2026-07-01,26,01/07/2026 (26j),2026-07-01,picking,2026-07-29,0,,,
5484,,Carrefour Market Uccle Bascule,Carrefour Market Uccle Bascule,Carrefour Market Uccle Bascule,Chaussée de Waterloo 719,,1180,023 43 55 75,Carmen.bascule@gmail.com,Actif,no-message,B,28,6,3090.6,257.55,2025-09-05,2026-07-01,26,01/07/2026 (26j),2026-07-01,picking,2026-07-29,0,,,
7693,,SA Marer - AD Rochefort,SA Marer - AD Rochefort,SA Marer - AD Rochefort,Rue de Marche 59,5580,Rochefort,,,Actif,no-message,B,28,9,3087.16,257.26,2025-08-05,2026-07-02,25,02/07/2026 (25j),2026-07-03,picking,2026-07-31,0,,,
123303,Affilié 41092 - Delhaize Bertrix,Affilié 41092 - Delhaize Bertrix,Delhaize Le Lion S.A,Affilié 41092 - Delhaize Bertrix,Route des Gohineaux 2,6880,Bertrix,+32 61 41 27 36,manager@delhaizebertrix.be,Actif,no-message,B,28,4,3085.65,257.14,2026-04-29,2026-07-13,14,13/07/2026 (14j),2026-07-13,picking,2026-08-10,0,réserve magasin OUI — contrôler la réserve avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise OUI à la réception
122091,Affilié 046780 - Delhaize Recogne,Affilié 046780 - Delhaize Recogne,Delhaize Le Lion S.A,Affilié 046780 - Delhaize Recogne,"Rue du Flosse, 6",6800,Libramont-Chevigny,+32 61 23 25 48,Nicole.Levieux@lionsretail.be,Actif,no-message,B,28,6,2950.04,245.84,2026-03-13,2026-07-13,14,13/07/2026 (14j),2026-07-13,picking,2026-08-10,0,pas de réserve magasin — rien à contrôler avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise à l'entrée obligatoire
5591,Affilié 043131 - AD Fernelmont,Affilié 043131 - AD Fernelmont,Delhaize Le Lion S.A,Affilié 043131 - AD Fernelmont,Rue d'Eghezée 16,,Fernelmont,+32 81 83 04 50,info@adfernelmont.be,Actif,no-message,B,28,4,2853.51,237.79,2025-10-28,2026-06-30,27,30/06/2026 (27j),2026-06-30,picking,2026-07-28,0,Pas de réserve magasin — rien à contrôler avant remplissage,Manuel — pas d'appareil pour rentrer la marchandise,Contrôle marchandise à l'entrée (faire valider par un responsable)
5653,Affilié 048755 - Delhaize St Lambert,Affilié 048755 - Delhaize St Lambert,Delhaize Le Lion S.A,Affilié 048755 - Delhaize St Lambert,Rue d'official 2,,Liège,042 22 09 90,Julien.Dosin@affiliatesdelhaize.be,Actif,no-message,B,28,6,2769.72,230.81,2025-09-09,2026-07-08,19,08/07/2026 (19j),2026-07-08,picking,2026-08-05,0,,,
2913,Affilié 043561 - AD Gembloux,Affilié 043561 - AD Gembloux,Delhaize Le Lion S.A,Affilié 043561 - AD Gembloux,Chaussée de Wavre 42A,5030,Gembloux,081 61 38 44,delhaize.gembloux@gmail.com,Actif,no-message,B,28,9,2755.98,229.66,2025-10-09,2026-06-29,28,29/06/2026 (28j),2026-07-01,picking,2026-07-29,0,,,
