pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j
6999,Carrefour Hyper Marche-en-Famenne,Carrefour Hyper Marche-en-Famenne,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Chaussée de Liège 41,6900,Marche-en-Famenne,+32 84 32 07 11,,Actif,no-message,B,28,4,4792.57,399.38,2025-07-23,2026-03-09,80,09/03/2026 (80j),2026-03-09,picking,2026-04-06,52
114704,Affilié 048652 - Delhaize Salzinnes,Affilié 048652 - Delhaize Salzinnes,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Chaussée de Charleroi 22,5000,Namur,+32 81 40 80 40,nicolas@adsalzinnes.be,Actif,no-message,B,28,6,3098.75,258.23,2025-11-05,2026-03-10,79,10/03/2026 (79j),2026-03-10,last_so,2026-04-07,51
5653,Affilié 048755 - Delhaize St Lambert,Affilié 048755 - Delhaize St Lambert,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Rue d'official 2,,Liège,042 22 09 90,Julien.Dosin@affiliatesdelhaize.be,Actif,no-message,B,28,5,2017.85,168.15,2025-07-04,2026-03-12,77,12/03/2026 (77j),2026-03-12,last_so,2026-04-09,49
8159,N.B.S. RETAIL - Delhaize de Marche,N.B.S. RETAIL - Delhaize de Marche,,N.B.S. RETAIL - Delhaize de Marche,Avenue de France 39,6900,Marche-en-Famenne,+32 470 26 16 92,nathalie-delhaizemarche@nbs-retail.be,Actif,no-message,A,21,12,5399.79,449.98,2025-06-17,2026-03-23,66,23/03/2026 (66j),2026-03-23,last_so,2026-04-13,45
5916,Affilié 044470 - AD Jambes (Materne),Affilié 044470 - AD Jambes (Materne),Delhaize Le Lion S.A,Delhaize Le Lion S.A,Avenue Jean Materne 109,,Jambes,081 30 16 88,,Actif,no-message,C,42,2,699.38,58.28,2026-01-16,2026-03-02,87,02/03/2026 (87j),2026-03-02,last_so,2026-04-13,45
113627,Carrefour market Grace Hollogne,Carrefour market Grace Hollogne,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Rue de Wallonie 2A,4460,Grâce-Hollogne,+32 4 384 34 41,albert_aktan@franchisecrf.com,Actif,no-message,B,28,5,2227.08,185.59,2025-10-13,2026-03-18,71,18/03/2026 (71j),2026-03-18,last_so,2026-04-15,43
113746,Hyper Carrefour Arlon,Hyper Carrefour Arlon,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Rue de Clairefontaine 1,6700,Arlon,+32 63 23 06 11,Christopher_kabongo@carrefour.com,Actif,no-message,B,28,5,2760.73,230.06,2025-10-17,2026-03-19,70,19/03/2026 (70j),2026-03-20,picking,2026-04-17,41
122255,SA LD Management - Intermarché Hamoir,SA LD Management - Intermarché Hamoir,,SA LD Management - Intermarché Hamoir,Boulevard Pieret 32,4180,Hamoir,+32 86 38 76 21,pdv9322@mousquetaires.com,Actif,no-message,B,28,1,681.57,56.8,2026-03-18,2026-03-18,71,18/03/2026 (71j),2026-03-20,picking,2026-04-17,41
2963,GENADIS - Intermarché Genappe,GENADIS - Intermarché Genappe,,GENADIS - Intermarché Genappe,Rue Louis Lalieux 22,1470,Genappe,067 78 02 50,pdv09846@mousquetaires.com,Actif,no-message,B,28,4,1343.88,111.99,2025-08-12,2026-03-25,64,25/03/2026 (64j),2026-03-25,last_so,2026-04-22,36
122467,Hyper Carrefour Bomerée,Hyper Carrefour Bomerée,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Rue de la station 1,6110,Montigny-Le-Tilleul,+32 71 29 72 11,demoulin_michael@carrefour.com,Actif,no-message,B,28,1,261.54,21.8,2026-03-27,2026-03-27,62,27/03/2026 (62j),2026-03-27,picking,2026-04-24,34
7283,Affilié 041335 - Ad Bouffioulx,Affilié 041335 - Ad Bouffioulx,Delhaize Le Lion S.A,Delhaize Le Lion S.A,"260, av E Vandervelde",6200,Chatelet,+32 71 38 59 34,looze24@hotmail.com,Actif,no-message,B,28,8,2880.21,240.02,2025-06-05,2026-03-31,58,31/03/2026 (58j),2026-03-31,last_so,2026-04-28,30
2927,Distriparenthèse - Intermarché Gosselies,Distriparenthèse - Intermarché Gosselies,,Distriparenthèse - Intermarché Gosselies,"Rue Pont à Migneloux, 13",6041,Gosselies,071/35.40.10,pdv09920@mousquetaires.com,Actif,no-message,B,28,6,1550.56,129.21,2025-06-05,2026-03-31,58,31/03/2026 (58j),2026-03-31,last_so,2026-04-28,30
116008,SA Beausov New - Delhaize Beauraing,SA Beausov New - Delhaize Beauraing,,SA Beausov New - Delhaize Beauraing,150 rue de Rochefort,5570,Beauraing,+32 82 71 36 97,Info@delhaize5570.be,Actif,no-message,B,28,4,1757.39,146.45,2025-11-26,2026-04-01,57,01/04/2026 (57j),2026-04-01,last_so,2026-04-29,29
3153,NIVALIM - Intermarché Nivelles,NIVALIM - Intermarché Nivelles,,NIVALIM - Intermarché Nivelles,Rue Tienne-à-Deux-Vallées 6/8,1400,Nivelles,067 21 74 94,pdv09840@mousquetaires.com,Actif,no-message,A,21,13,5638.34,469.86,2025-06-05,2026-04-09,49,09/04/2026 (49j),2026-04-09,last_so,2026-04-30,28
122589,Carrefour Market Wellin,Carrefour Market Wellin,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,"Rue de la Station, 32",6920,Wellin,+32 84 38 92 96,carrefourwellin@gmail.com,Actif,no-message,B,28,1,416.06,34.67,2026-03-30,2026-03-30,59,30/03/2026 (59j),2026-04-02,picking,2026-04-30,28
117404,Carrefour market Arlon Hydrion,Carrefour market Arlon Hydrion,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Parc commerciale de l'Hydrion 1,6700,Arlon,+32 63 44 51 90,markethydrion@gmail.com,Actif,no-message,C,42,3,825.62,68.8,2025-12-11,2026-03-19,70,19/03/2026 (70j),2026-03-19,last_so,2026-04-30,28
117407,Affilié 045730 - Delhaize Neufchateau,Affilié 045730 - Delhaize Neufchateau,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Chaussée de Recogne 88,6840,Neufchâteau,+32 61 27 83 88,Ad.neufchateau@schnongs.be,Actif,no-message,C,42,4,789.41,65.78,2025-12-11,2026-03-19,70,19/03/2026 (70j),2026-03-19,last_so,2026-04-30,28
122466,Hyper Carrefour Gosselies,Hyper Carrefour Gosselies,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Da Vincilaan 3,6041,Gosselies,+32 71 25 06 11,,Actif,no-message,B,28,1,649.88,54.16,2026-04-03,2026-04-03,55,03/04/2026 (55j),2026-04-07,picking,2026-05-05,23
10134,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,Chaussée de Huy 47,1325,Chaumont-Gistoux,+32 10 23 92 60,pdv09930@mousquetaires.com,Actif,no-message,B,28,8,2583.66,215.3,2025-08-29,2026-04-08,50,08/04/2026 (50j),2026-04-08,last_so,2026-05-06,22
3223,SRL AD LLN - Delhaize de Louvain La Neuve,SRL AD LLN - Delhaize de Louvain La Neuve,,SRL AD LLN - Delhaize de Louvain La Neuve,Place de l'accueil 10,1348,Louvain La Neuve,010 45 86 57,Achef45040@delhaize.be,Actif,no-message,B,28,6,2480.63,206.72,2025-08-12,2026-04-08,50,08/04/2026 (50j),2026-04-08,last_so,2026-05-06,22
115220,SA Nalim - Intermarché Wavre,SA Nalim - Intermarché Wavre,,SA Nalim - Intermarché Wavre,Avenue des Princes 9,1300,Wavre,+32 10 24 11 48,vincent.servais-adh@mousquetaires.com,Actif,no-message,B,28,4,1422.46,118.54,2025-12-02,2026-04-08,50,08/04/2026 (50j),2026-04-08,last_so,2026-05-06,22
5443,Affilié 041341 - AD Delhaize Filature,Affilié 041341 - AD Delhaize Filature,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Rue de Tubize 102,,Braine-le-Château,02 204 56 40,Adfilature@courcellesgroup.be,Actif,no-message,C,42,5,1017.15,84.76,2025-07-24,2026-03-25,64,25/03/2026 (64j),2026-03-25,last_so,2026-05-06,22
3274,V2V Express Two - Carrefour Express 1314,V2V Express Two - Carrefour Express 1314,,V2V Express Two - Carrefour Express 1314,Route de l'Etat 47,1380,Lasne,02 633 11 90,lasnedistribution@gmail.com,Actif,no-message,C,42,2,413.74,34.48,2025-08-12,2026-03-25,64,25/03/2026 (64j),2026-03-25,last_so,2026-05-06,22
5582,Affilié 043540 - Delhaize Genval,Affilié 043540 - Delhaize Genval,Delhaize Le Lion S.A,Delhaize Le Lion S.A,13 Avenue Albert 1er,,Genval,026541702,gilles.verleyen@delhaize-genval.be,Actif,no-message,B,28,10,3626.86,302.24,2025-06-19,2026-04-09,49,09/04/2026 (49j),2026-04-09,last_so,2026-05-07,21
113675,Carrefour market LONTZEN,Carrefour market LONTZEN,Carrefour Belgium - Corporate Village,Carrefour market LONTZEN,"Rue Mitoyenne B, 910",4710,Lontzen,+32 87 67 42 27,carrefour.lontzen@gmail.com,Actif,no-message,B,28,4,1847.48,153.96,2025-10-14,2026-04-10,48,10/04/2026 (48j),2026-04-10,last_so,2026-05-08,20
120762,Spirec SRL - Carrefour Express CHIREC,Spirec SRL - Carrefour Express CHIREC,,Spirec SRL - Carrefour Express CHIREC,"Boulevard du Triomphe, 201",1160,Auderghem,+32 2 280 40 49,express.chirec@gmail.com,Actif,no-message,X,90,1,353.95,29.5,2026-02-05,2026-02-05,112,05/02/2026 (112j),2026-02-09,picking,2026-05-10,18
7679,,Etablissements Schnongs - AD Ciney,Etablissements Schnongs - AD Ciney,Etablissements Schnongs - AD Ciney,Chemin de Crahiat 18 A,5590,Ciney,,,Actif,no-message,B,28,10,2870.2,239.18,2025-06-18,2026-04-13,45,13/04/2026 (45j),2026-04-13,last_so,2026-05-11,17
5591,Affilié 043131 - AD Fernelmont,Affilié 043131 - AD Fernelmont,Delhaize Le Lion S.A,Affilié 043131 - AD Fernelmont,Rue d'Eghezée 16,,Fernelmont,+32 81 83 04 50,info@adfernelmont.be,Actif,no-message,B,28,3,2409.71,200.81,2025-10-28,2026-04-13,45,13/04/2026 (45j),2026-04-13,last_so,2026-05-11,17
120986,Carrefour express Petits Champs,Carrefour express Petits Champs,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,"CHAUSSEE DE BRUXELLES, 6",1410,Waterloo,+32 2 354 35 22,cvg0973@hotmail.com,Actif,no-message,X,90,1,243.01,20.25,2026-02-11,2026-02-11,106,11/02/2026 (106j),2026-02-11,picking,2026-05-12,16
116869,Chili Peppers - Intermarché Tilf,Chili Peppers - Intermarché Tilf,,Chili Peppers - Intermarché Tilf,Avenue des Ardennes 8,4130,Esneux,+32 479 32 28 39,pdv09885@mousquetaires.com,Actif,no-message,A,21,10,5522.91,460.24,2025-12-05,2026-04-22,36,22/04/2026 (36j),2026-04-22,last_so,2026-05-13,15
3210,SA Faimine - Intermarché Faimes,SA Faimine - Intermarché Faimes,,SA Faimine - Intermarché Faimes,Rue De Huy 27,4317,Faimes,019678378,PDV06089@mousquetaires.com,Actif,no-message,B,28,7,2626.74,218.89,2025-06-17,2026-04-15,43,15/04/2026 (43j),2026-04-15,last_so,2026-05-13,15
2811,BARVO S.A. - Carrefour Market Barvaux,BARVO S.A. - Carrefour Market Barvaux,,BARVO S.A. - Carrefour Market Barvaux,"Route de Marche, 26",6940,Barvaux/Ourthe,086 21 13 79,nathalie.warnier@arcadesa.be,Actif,no-message,B,28,6,2401.08,200.09,2025-06-16,2026-04-15,43,15/04/2026 (43j),2026-04-15,last_so,2026-05-13,15
3120,Mardis - Carrefour Market Marche,Mardis - Carrefour Market Marche,,Mardis - Carrefour Market Marche,Avenue du Monument 1,6900,Marche-en-Famenne,084 31 30 76,carrefour.market.marche@gmail.com,Actif,no-message,C,42,4,1147.76,95.65,2025-06-10,2026-04-01,57,01/04/2026 (57j),2026-04-01,last_so,2026-05-13,15
2971,Gerpidis SA - Intermarché Gerpinnes,Gerpidis SA - Intermarché Gerpinnes,,Gerpidis SA - Intermarché Gerpinnes,Route De Philippeville 196,6280,Gerpinnes,071216909,pdv09863@mousquetaires.com,Actif,no-message,B,28,7,3133.27,261.11,2025-06-05,2026-04-17,41,17/04/2026 (41j),2026-04-17,last_so,2026-05-15,13
120159,Affilié 043145 - Delhaize Flagey,Affilié 043145 - Delhaize Flagey,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Rue de Hennin 18,1050,Ixelles,+32 471 53 40 15,skoumans@outlook.com,Actif,no-message,C,42,2,1091.63,90.97,2026-01-22,2026-04-03,55,03/04/2026 (55j),2026-04-03,last_so,2026-05-15,13
2915,Affilié 048880 - AD Soumagne Marvan s.a.,Affilié 048880 - AD Soumagne Marvan s.a.,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Avenue de la Résistance 322,4630,Soumagne,043 45 97 50,adsoumagne@iba-invest.be,Actif,no-message,A,21,9,12664.98,1055.41,2025-06-12,2026-04-24,34,24/04/2026 (34j),2026-04-27,picking,2026-05-18,10
9046,Carrefour Hyper de Jambes,Carrefour Hyper de Jambes,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Avenue prince de Liège 57-59,5100,Jambes,+32 81 33 20 11,,Actif,no-message,A,21,9,6156.72,513.06,2025-07-10,2026-04-08,50,08/04/2026 (50j),2026-04-27,picking,2026-05-18,10
2958,Floridis SA- Intermarché Floriffoux,Floridis SA- Intermarché Floriffoux,,Floridis SA- Intermarché Floriffoux,Rue Emerée 4,5150,Floriffoux,081 44 05 39,PDV09900@mousquetaires.com,Actif,no-message,B,28,8,3477.73,289.81,2025-06-24,2026-04-20,38,20/04/2026 (38j),2026-04-20,last_so,2026-05-18,10
116686,SRL Spydis - Intermarché Spy,SRL Spydis - Intermarché Spy,,SRL Spydis - Intermarché Spy,Route de Saussin 45,5190,Jemeppe-sur-Sambre,+32 71 78 74 39,Pdv09916@mousquetaires.com,Actif,no-message,B,28,7,2530.73,210.89,2025-12-03,2026-04-20,38,20/04/2026 (38j),2026-04-20,last_so,2026-05-18,10
123041,Affilié 44845 - Delhaize Enghien,Affilié 44845 - Delhaize Enghien,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Square de la Dodane,7850,Enghien,,dllenghienmestdag@gmail.com,Actif,no-message,B,28,1,317.02,26.42,2026-04-16,2026-04-16,42,16/04/2026 (42j),2026-04-20,picking,2026-05-18,10
114681,Affilié 041345 - Delhaize de Bouge,Affilié 041345 - Delhaize de Bouge,Delhaize Le Lion S.A,Affilié 041345 - Delhaize de Bouge,Chaussée de Louvain 336,5004,Namur,+32 81 21 48 88,helene.nols@affiliatesdelhaize.be,Actif,no-message,B,28,8,3358.67,279.89,2025-11-05,2026-04-21,37,21/04/2026 (37j),2026-04-21,last_so,2026-05-19,9
3297,Windmill SA - Intermarché Bouge,Windmill SA - Intermarché Bouge,,Windmill SA - Intermarché Bouge,"Chaussée de Louvain, 257",5000,Bouge,081569346,pdv09883@mousquetaires.com,Actif,no-message,B,28,8,2900.82,241.74,2025-06-24,2026-04-21,37,21/04/2026 (37j),2026-04-21,last_so,2026-05-19,9
113613,Hyper Carrefour Mons Grands Prés,Hyper Carrefour Mons Grands Prés,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,"Place des grands pres, 1",7000,Mons,+32 65 32 36 11,christophe_solheid@carrefour.com,Actif,no-message,B,28,3,1200.67,100.06,2025-10-13,2026-04-07,51,07/04/2026 (51j),2026-04-21,picking,2026-05-19,9
123067,PGHM Distribution-Proxy Delhaize Maissin,PGHM Distribution-Proxy Delhaize Maissin,,PGHM Distribution-Proxy Delhaize Maissin,"Avenue de France,  22",6852,Paliseul,+32 61 61 11 71,janssensaurelie23@gmail.com,Actif,no-message,B,28,1,693.48,57.79,2026-04-16,2026-04-16,42,16/04/2026 (42j),2026-04-21,picking,2026-05-19,9
122944,Lambertdis SRL - Spar Manhay,Lambertdis SRL - Spar Manhay,,Lambertdis SRL - Spar Manhay,"Rue d'erezée,",6960,Manhay,+32 86 45 55 87,lambertfrancoise@skynet.be,Actif,no-message,B,28,2,558.67,46.56,2026-04-11,2026-04-21,37,21/04/2026 (37j),2026-04-21,picking,2026-05-19,9
122958,NDB Diffusion -Spar Namur,NDB Diffusion -Spar Namur,,NDB Diffusion -Spar Namur,Rue des Echasseurs 1,5000,Namur,+32 81 81 31 87,info@sparnamur.com,Actif,no-message,B,28,2,365.49,30.46,2026-04-15,2026-04-21,37,21/04/2026 (37j),2026-04-21,picking,2026-05-19,9
8169,Delhaize Bois-de-breux,Delhaize Bois-de-breux,,Delhaize Bois-de-breux,Rue de Herve 280,4030,Liège,+32 4 365 74 07,Olivier.landauer@affiliatesdelhaize.be,Actif,no-message,B,28,10,3941.62,328.47,2025-06-26,2026-04-22,36,22/04/2026 (36j),2026-04-22,last_so,2026-05-20,8
122995,Micamik SRL - Spar Godinne,Micamik SRL - Spar Godinne,,Micamik SRL - Spar Godinne,Rue de Mont 13,5530,Godinne,+32 82 61 27 50,spargodinne@icloud.com,Actif,no-message,B,28,1,491.32,40.94,2026-04-22,2026-04-22,36,22/04/2026 (36j),2026-04-22,picking,2026-05-20,8
123144,Affilié 040490 - Delhaize Ath,Affilié 040490 - Delhaize Ath,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Rue de l'Abbaye 6,7800,Ath,+32 477 85 67 07,lorickvanassche@outlook.com,Actif,no-message,B,28,1,491.32,40.94,2026-04-22,2026-04-22,36,22/04/2026 (36j),2026-04-22,picking,2026-05-20,8
2909,DelEmbourg SRL - Delhaize Embourg,DelEmbourg SRL - Delhaize Embourg,,DelEmbourg SRL - Delhaize Embourg,Voie de l’ardenne 57,4053,Embourg,043 61 25 69,Kevin.Demarteau@affiliatesdelhaize.be,Actif,no-message,A,21,16,7854.12,654.51,2025-07-15,2026-04-30,28,30/04/2026 (28j),2026-04-30,last_so,2026-05-21,7
119818,Affilié 043151 - Proxy Delhaize Ferrières,Affilié 043151 - Proxy Delhaize Ferrières,Delhaize Le Lion S.A,Affilié 043151 - Proxy Delhaize Ferrières,"Rue du Pré du Fa, 6A",4190,Ferrières,+32 86 40 02 27,bernard@counassegroup.be,Actif,no-message,B,28,4,1485.93,123.83,2026-01-14,2026-04-23,35,23/04/2026 (35j),2026-04-23,last_so,2026-05-21,7
6597,Carrefour	Hyper Wépion,Carrefour	Hyper Wépion,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Chaussée de Dinant 1147,5100,Wepion,+32 2 446 15 13,veronique_defraine@carrefour.com,Actif,no-message,B,28,8,4229.79,352.48,2025-06-03,2026-04-07,51,07/04/2026 (51j),2026-04-24,picking,2026-05-22,6
