pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j,controle_stock,methode_reassort,regle_magasin
122255,SA LD Management - Intermarché Hamoir,SA LD Management - Intermarché Hamoir,,SA LD Management - Intermarché Hamoir,Boulevard Pieret 32,4180,Hamoir,+32 86 38 76 21,pdv9322@mousquetaires.com,Actif,no-message,B,28,4,1886.13,157.18,2026-03-18,2026-08-11,44,11/08/2026 (44j),2026-08-11,picking,2026-09-08,16,,,
8558,SA Marer - AD Delhaize Bastogne,SA Marer - AD Delhaize Bastogne,,SA Marer - AD Delhaize Bastogne,Route de Marche 112-114,6660,Bastogne,+32 61 21 70 84,compta2@irilux.lu,Actif,no-message,B,28,8,3789.52,315.79,2025-10-09,2026-08-14,41,14/08/2026 (41j),2026-08-14,picking,2026-09-11,13,pas de réserve magasin — rien à contrôler avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée
116686,SRL Spydis - Intermarché Spy,SRL Spydis - Intermarché Spy,,SRL Spydis - Intermarché Spy,Route de Saussin 45,5190,Jemeppe-sur-Sambre,+32 71 78 74 39,Pdv09916@mousquetaires.com,Actif,no-message,B,28,9,3593.93,299.49,2025-12-03,2026-08-14,41,14/08/2026 (41j),2026-08-14,picking,2026-09-11,13,,,
2958,Floridis SA- Intermarché Floriffoux,Floridis SA- Intermarché Floriffoux,,Floridis SA- Intermarché Floriffoux,Rue Emerée 4,5150,Floriffoux,081 44 05 39,PDV09900@mousquetaires.com,Actif,no-message,B,28,7,3180.21,265.02,2025-09-30,2026-08-14,41,14/08/2026 (41j),2026-08-14,picking,2026-09-11,13,,,
125094,Spar Vaux-sur-Sûre,Spar Vaux-sur-Sûre,,Spar Vaux-sur-Sûre,La Barrière 13,6640,Vaux-sur-Sure,+32 61 31 51 91,lbdistri@hotmail.be,Actif,no-message,B,28,3,1317.54,109.8,2026-07-08,2026-08-14,41,14/08/2026 (41j),2026-08-14,picking,2026-09-11,13,,,
123189,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,Carrefour Belgium,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,CC Porte de Trèves - Rue Gustave Delperdange 3,6600,Bastogne,+32 61 21 00 50,bastogne@orkari.be,Actif,no-message,C,42,3,986.33,82.19,2026-04-23,2026-08-03,52,03/08/2026 (52j),2026-08-04,picking,2026-09-15,9,,,
6838,,KAIO Retail invest - Delhaize Ottignies,KAIO Retail invest - Delhaize Ottignies,KAIO Retail invest - Delhaize Ottignies,"Centre commercial du Douaire, 1",1340,Ottignie,,jolan.cailleau@gmail.com,Actif,no-message,A,21,10,5622.45,468.54,2025-09-29,2026-08-26,29,26/08/2026 (29j),2026-08-26,picking,2026-09-16,8,,,
7003,Wonka S.A. - Intermarché Heusy,Wonka S.A. - Intermarché Heusy,,Wonka S.A. - Intermarché Heusy,Chaussée De Theux 55,4802,Heusy,+32 472 09 23 90,caroline.leidgens.intermarche@gmail.com,Actif,no-message,B,28,10,2890.56,240.88,2025-10-21,2026-08-19,36,19/08/2026 (36j),2026-08-19,picking,2026-09-16,8,,,
120499,Affilié 044305 - Delhaize Heusy,Affilié 044305 - Delhaize Heusy,Delhaize Le Lion S.A,Affilié 044305 - Delhaize Heusy,"Avenue de Spa, 66",4802,Heusy,+32 87 22 14 75,nicolas.crotteux@affiliatesdelhaize.be,Actif,no-message,B,28,6,2763.13,230.26,2026-01-30,2026-08-19,36,19/08/2026 (36j),2026-08-19,picking,2026-09-16,8,,,
8779,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Quai de Meuse 1/1,5500,Dinant,+32 82 22 37 62,xavier-despeghel@hotmail.com,Actif,no-message,C,30,3,807.74,67.31,2025-10-16,2026-02-17,219,17/02/2026 (219j),2026-08-19,comment_tag,2026-09-18,6,,,passage tous les 30j min — pas de passage avant 30j (Nicolas 24/06/2026)
3297,Windmill SA - Intermarché Bouge,Windmill SA - Intermarché Bouge,,Windmill SA - Intermarché Bouge,"Chaussée de Louvain, 257",5000,Bouge,081569346,pdv09883@mousquetaires.com,Actif,no-message,B,28,9,3094.98,257.92,2025-09-30,2026-08-24,31,24/08/2026 (31j),2026-08-24,picking,2026-09-21,3,,"manuel, pas d'appareil magasin pour encoder",pas de contrôle marchandise ; contact Laurence
2821,Belgradis - Intermarché Belgrade,Belgradis - Intermarché Belgrade,,Belgradis - Intermarché Belgrade,"Allée des Ormes, 15",5001,BELGRADE,081260187,pdv09884@mousquetaires.com,Actif,warning,B,28,5,2174.01,181.17,2025-10-31,2026-08-24,31,24/08/2026 (31j),2026-08-24,picking,2026-09-21,3,,,
123069,Carrefour Market Bievre - 5400102108300,Carrefour Market Bievre - 5400102108300,Carrefour Belgium,Carrefour Market Bievre - 5400102108300,Rue de Bouillon 106,5555,Bièvre,+32 61 51 11 39,sylvieh830@gmail.com,Actif,no-message,B,28,7,1435.75,119.65,2026-04-23,2026-08-24,31,24/08/2026 (31j),2026-08-24,picking,2026-09-21,3,pas de réserve magasin — rien à contrôler avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise à l'entrée OBLIGATOIRE
5582,Affilié 043540 - Delhaize Genval,Affilié 043540 - Delhaize Genval,Delhaize Le Lion S.A,Affilié 043540 - Delhaize Genval,13 Avenue Albert 1er,,Genval,026541702,gilles.verleyen@delhaize-genval.be,Actif,no-message,B,28,9,4248.28,354.02,2025-11-07,2026-08-26,29,26/08/2026 (29j),2026-08-26,picking,2026-09-23,1,,,
5484,,Carrefour Market Uccle Bascule,Carrefour Market Uccle Bascule,Carrefour Market Uccle Bascule,Chaussée de Waterloo 719,,1180,023 43 55 75,Carmen.bascule@gmail.com,Actif,no-message,B,28,7,3116.04,259.67,2025-10-30,2026-08-26,29,26/08/2026 (29j),2026-08-26,picking,2026-09-23,1,,,
5878,,Carrefour Market Remouchamps,Carrefour Market Remouchamps,Carrefour Market Remouchamps,Avenue de la Porallée  36A,,Aywaille,043 84 05 50,,Actif,no-message,A,21,18,11667.81,972.32,2025-10-01,2026-09-24,0,24/09/2026 (0j),2026-09-24,picking,2026-10-15,0,réserve — thés glacés présents au 03/09/2026,,
5441,Affilié 043366 - AD Fosses-la-Ville,Affilié 043366 - AD Fosses-la-Ville,Delhaize Le Lion S.A,Affilié 043366 - AD Fosses-la-Ville,Rue du Cimetière 5,,Fosses-la-Ville,071 71 29 12,ad.fosses@hotmail.be,Actif,no-message,A,21,16,9350.49,779.21,2025-10-14,2026-09-17,7,17/09/2026 (7j),2026-09-18,picking,2026-10-09,0,,,
5755,Intermarché Naninne,Intermarché Naninne,NANRETAIL SA - Intermarché Naninne,NANRETAIL SA - Intermarché Naninne,Chaussée de Marche 860,,Naninne,081 63 36 96,naninnecompta@gmail.com,Actif,no-message,A,21,15,8885.54,740.46,2025-10-03,2026-09-22,2,22/09/2026 (2j),2026-09-22,picking,2026-10-13,0,,,
2909,DelEmbourg SRL - Delhaize Embourg,DelEmbourg SRL - Delhaize Embourg,,DelEmbourg SRL - Delhaize Embourg,Voie de l’ardenne 57,4053,Embourg,043 61 25 69,Kevin.Demarteau@affiliatesdelhaize.be,Actif,no-message,A,21,15,8373.81,697.82,2025-10-15,2026-09-14,10,14/09/2026 (10j),2026-09-14,picking,2026-10-05,0,,,
116869,Chili Peppers - Intermarché Tilf,Chili Peppers - Intermarché Tilf,,Chili Peppers - Intermarché Tilf,Avenue des Ardennes 8,4130,Esneux,+32 479 32 28 39,pdv09885@mousquetaires.com,Actif,no-message,A,21,14,8284.45,690.37,2025-12-05,2026-09-03,21,03/09/2026 (21j),2026-09-23,comment_tag,2026-10-14,0,"pas de réserve, rayon direct","manuel, pas d'appareil magasin pour encoder",contrôle marchandise OUI à la réception
9046,Carrefour Hyper de Jambes - 5400102606400,Carrefour Hyper de Jambes - 5400102606400,Carrefour Belgium,Carrefour Hyper de Jambes - 5400102606400,Avenue prince de Liège 57-59,5100,Jambes,+32 81 33 20 11,,Actif,no-message,A,21,12,7599.86,633.32,2025-11-18,2026-07-28,58,28/07/2026 (58j),2026-09-24,comment_tag,2026-10-15,0,,,
5449,Affilié 048875 - AD Sombreffe,Affilié 048875 - AD Sombreffe,Delhaize Le Lion S.A,Affilié 048875 - AD Sombreffe,Chaussée de Gembloux 25,,Sombreffe,071 88 60 08,adsombreffe@gmail.com,Actif,no-message,A,21,14,7276.89,606.41,2025-10-14,2026-08-19,36,19/08/2026 (36j),2026-09-17,comment_tag,2026-10-08,0,,,prochain passage — remettre un display neuf (abîmé le 17/09) + gamme de Noël
5750,,SA Barthe - Intermarché Assesse,SA Barthe - Intermarché Assesse,SA Barthe - Intermarché Assesse,Rue Melville Wilson 3,,Assesse,083 66 05 70,PDV02021@mousquetaires.com,Actif,no-message,A,21,14,6602.03,550.17,2025-10-16,2026-09-07,17,07/09/2026 (17j),2026-09-07,picking,2026-09-28,0,Pas de réserve magasin — rien à contrôler avant remplissage,Appareil/scan disponible pour rentrer la marchandise,Pas de contrôle marchandise à l'entrée
2952,AD Delhaize Fernelmont (Fernel-Dis SRL n°43132),AD Delhaize Fernelmont (Fernel-Dis SRL n°43132),,AD Delhaize Fernelmont (Fernel-Dis SRL n°43132),Rue d'Eghezée 16,5380,Fernelmont,+32 81 83 04 55,info@adfernelmont.be,Actif,no-message,A,21,15,6212.64,517.72,2025-11-24,2026-09-22,2,22/09/2026 (2j),2026-09-22,picking,2026-10-13,0,,,
114681,Affilié 041345 - Delhaize de Bouge,Affilié 041345 - Delhaize de Bouge,Delhaize Le Lion S.A,Affilié 041345 - Delhaize de Bouge,Chaussée de Louvain 336,5004,Namur,+32 81 21 48 88,helene.nols@affiliatesdelhaize.be,Actif,no-message,A,21,15,6191.11,515.93,2025-11-05,2026-09-17,7,17/09/2026 (7j),2026-09-18,picking,2026-10-09,0,,,
6597,Carrefour	Hyper Wépion - 5400102606240,Carrefour	Hyper Wépion - 5400102606240,Carrefour Belgium,Carrefour	Hyper Wépion - 5400102606240,Chaussée de Dinant 1147,5100,Wepion,+32 2 446 15 13,veronique_defraine@carrefour.com,Actif,no-message,A,21,7,5046.67,420.56,2025-10-21,2026-08-19,36,19/08/2026 (36j),2026-09-16,comment_tag,2026-10-07,0,,,
114704,Affilié 048652 - Delhaize Salzinnes,Affilié 048652 - Delhaize Salzinnes,Delhaize Le Lion S.A,Affilié 048652 - Delhaize Salzinnes,Chaussée de Charleroi 22,5000,Namur,+32 81 40 80 40,nicolas@adsalzinnes.be,Actif,no-message,A,21,9,4971.9,414.32,2025-11-05,2026-08-04,51,04/08/2026 (51j),2026-09-24,comment_tag,2026-10-15,0,,,
6999,Carrefour Hyper Marche-en-Famenne - 5400102606868,Carrefour Hyper Marche-en-Famenne - 5400102606868,Carrefour Belgium,Carrefour Hyper Marche-en-Famenne - 5400102606868,Chaussée de Liège 41,6900,Marche-en-Famenne,+32 84 32 07 11,,Actif,no-message,B,28,6,4718.11,393.18,2026-03-09,2026-09-01,23,01/09/2026 (23j),2026-09-22,comment_tag,2026-10-20,0,,,
121874,INTERMADIS SA - Intermarché Hannut,INTERMADIS SA - Intermarché Hannut,,INTERMADIS SA - Intermarché Hannut,Rue de Hesbaye 1,4280,Hannut,+32 19 51 20 06,pdv95004@mousquetaires.com,Actif,no-message,B,28,6,4497.27,374.77,2026-03-06,2026-08-17,38,17/08/2026 (38j),2026-09-15,comment_tag,2026-10-13,0,réserve magasin (voir Wereau/Benjamin/Valentin),GUN — appareil de commande disponible sur place,
8159,N.B.S. RETAIL - Delhaize de Marche,N.B.S. RETAIL - Delhaize de Marche,,N.B.S. RETAIL - Delhaize de Marche,Avenue de France 39,6900,Marche-en-Famenne,+32 470 26 16 92,nathalie-delhaizemarche@nbs-retail.be,Actif,no-message,B,28,9,4399.31,366.61,2025-10-17,2026-07-14,72,14/07/2026 (72j),2026-09-01,comment_tag,2026-09-29,0,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise OUI à la réception
115879,SA VILLERSEM - Intermarché Villers Le Bouillet,SA VILLERSEM - Intermarché Villers Le Bouillet,,SA VILLERSEM - Intermarché Villers Le Bouillet,Rue du Château d'eau 1,4530,VILLERS-LE-BOUILLET,+32 85 31 69 11,PDV05449@MOUSQUETAIRES.COM,Actif,no-message,B,28,10,4298.82,358.23,2025-11-24,2026-09-14,10,14/09/2026 (10j),2026-09-14,picking,2026-10-12,0,Pas de réserve magasin — rien à contrôler avant remplissage,Manuel — pas d’appareil pour rentrer la marchandise,Contrôle marchandise à l’entrée OBLIGATOIRE
2924,Distri-Incourt - Delhaize Incourt,Distri-Incourt - Delhaize Incourt,,Distri-Incourt - Delhaize Incourt,chaussée de Namur 89,1315,INCOURT,010/88.72.90,delhaizeincourt@gmail.com,Actif,no-message,B,28,10,4249.43,354.12,2025-10-02,2026-07-20,66,20/07/2026 (66j),2026-09-14,comment_tag,2026-10-12,0,,,
3153,NIVALIM - Intermarché Nivelles,NIVALIM - Intermarché Nivelles,,NIVALIM - Intermarché Nivelles,Rue Tienne-à-Deux-Vallées 6/8,1400,Nivelles,067 21 74 94,pdv09840@mousquetaires.com,Actif,no-message,B,28,9,4153.16,346.1,2025-10-13,2026-09-14,10,14/09/2026 (10j),2026-09-14,picking,2026-10-12,0,,,
122091,Affilié 046780 - Delhaize Recogne,Affilié 046780 - Delhaize Recogne,Delhaize Le Lion S.A,Affilié 046780 - Delhaize Recogne,"Rue du Flosse, 6",6800,Libramont-Chevigny,+32 61 23 25 48,Nicole.Levieux@lionsretail.be,Actif,no-message,B,28,8,3709.17,309.1,2026-03-13,2026-08-31,24,31/08/2026 (24j),2026-08-31,picking,2026-09-28,0,pas de réserve magasin — rien à contrôler avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise à l'entrée obligatoire
8169,Delhaize Bois-de-breux,Delhaize Bois-de-breux,,Delhaize Bois-de-breux,Rue de Herve 280,4030,Liège,+32 4 365 74 07,Olivier.landauer@affiliatesdelhaize.be,Actif,no-message,B,28,9,3701.69,308.47,2025-10-27,2026-08-05,50,05/08/2026 (50j),2026-09-11,comment_tag,2026-10-09,0,,,
119815,BARCHONEW SRL - Delhaize Barchon,BARCHONEW SRL - Delhaize Barchon,,BARCHONEW SRL - Delhaize Barchon,"Rue Champs de Tignée, 32",4671,Barchon,+32 4 362 27 33,adbarchon@proximus.be,Actif,no-message,B,28,9,3588.95,299.08,2026-01-14,2026-08-06,49,06/08/2026 (49j),2026-09-11,comment_tag,2026-10-09,0,pas de réserve — tout en rayon,manuel — pas d'appareil de commande sur place,contrôle marchandise obligatoire à la réception
123303,Affilié 41092 - Delhaize Bertrix,Affilié 41092 - Delhaize Bertrix,Delhaize Le Lion S.A,Affilié 41092 - Delhaize Bertrix,Route des Gohineaux 2,6880,Bertrix,+32 61 41 27 36,manager@delhaizebertrix.be,Actif,no-message,B,28,5,3563.42,296.95,2026-04-29,2026-08-31,24,31/08/2026 (24j),2026-08-31,picking,2026-09-28,0,réserve magasin OUI — contrôler la réserve avant remplissage,manuel — pas d'appareil pour rentrer la marchandise,contrôle marchandise OUI à la réception
121194,DFH Market - Intermarché Liège Cointe,DFH Market - Intermarché Liège Cointe,,DFH Market - Intermarché Liège Cointe,Bd Gustave Kleyer 3,4000,Liège,+32 4 250 34 82,pdv09880@mousquetaires.com,Actif,no-message,B,28,8,3261.02,271.75,2026-02-16,2026-09-15,9,15/09/2026 (9j),2026-09-15,picking,2026-10-13,0,contrôle de stock OUI — pas de réserve / stock arrière — pas d'appareil (PDA/scan) pour rentrer la marchandise,,
50967,Affilié 046900 - Proxy Delhaize Rixensart,Affilié 046900 - Proxy Delhaize Rixensart,Delhaize Le Lion S.A,Affilié 046900 - Proxy Delhaize Rixensart,Place du beau site 4,1330,Rixensart,+32 2 653 71 18,bd.proxyrixensart@gmail.com,Actif,no-message,B,28,9,3147.16,262.26,2025-09-29,2026-07-17,69,17/07/2026 (69j),2026-09-08,comment_tag,2026-10-06,0,,,
5442,Affilié 042955 - Delhaize Etalle,Affilié 042955 - Delhaize Etalle,Delhaize Le Lion S.A,Affilié 042955 - Delhaize Etalle,Rue Belle-Vue 56,,Etalle,+32 63 60 82 50,info@ad-etalle.be,Actif,no-message,B,28,6,3124.99,260.42,2025-12-02,2026-09-17,7,17/09/2026 (7j),2026-09-17,picking,2026-10-15,0,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée | reprise de marchandises notée
113498,Affilié 044471 - Delhaize Materne,Affilié 044471 - Delhaize Materne,Delhaize Le Lion S.A,Affilié 044471 - Delhaize Materne,Av. du Bourgmestre Jean Materne 109,5100,Namur,+32 81 30 16 88,info@gecodis.be,Actif,no-message,B,30,7,3089.67,257.47,2025-10-10,2026-09-23,1,23/09/2026 (1j),2026-09-23,last_so,2026-10-23,0,,,passage tous les 30j min — pas de passage avant 30j (Nicolas 24/06/2026)
119819,Affilié 044463 - Delhaize Hotton,Affilié 044463 - Delhaize Hotton,Delhaize Le Lion S.A,Affilié 044463 - Delhaize Hotton,"Rue De La Scierie, 9",6990,Hotton,+32 84 32 20 24,bernard@counassegroup.be,Actif,no-message,B,28,7,2998.28,249.86,2026-01-14,2026-09-01,23,01/09/2026 (23j),2026-09-22,comment_tag,2026-10-20,0,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée
5580,,GIMALEX SA - Delhaize Fragnée,GIMALEX SA - Delhaize Fragnée,GIMALEX SA - Delhaize Fragnée,"Rue de Fragnée, 41",4000,Liège,,g.harvie@gimalex.be,Actif,no-message,B,28,8,2979.76,248.31,2025-11-05,2026-05-29,118,29/05/2026 (118j),2026-09-11,comment_tag,2026-10-09,0,,,
113627,Carrefour market Grace Hollogne - 5400102117609,Carrefour market Grace Hollogne - 5400102117609,Carrefour Belgium,Carrefour market Grace Hollogne - 5400102117609,Rue de Wallonie 2A,4460,Grâce-Hollogne,+32 4 384 34 41,albert_aktan@franchisecrf.com,Actif,no-message,B,28,8,2948.25,245.69,2025-10-13,2026-09-23,1,23/09/2026 (1j),2026-09-23,picking,2026-10-21,0,Pas de réserve magasin — rien à contrôler avant remplissage,Manuel — pas d'appareil pour rentrer la marchandise,Pas de contrôle marchandise à l'entrée
113445,D-trois SRL - Proxy Delhaize Saint-Séverin,D-trois SRL - Proxy Delhaize Saint-Séverin,,D-trois SRL - Proxy Delhaize Saint-Séverin,"Route du Condroz, 243",4550,Nandrin,+32 4 372 09 85,amdessart@proxynandrin.be,Actif,no-message,B,28,11,2903.26,241.94,2025-10-09,2026-09-17,7,17/09/2026 (7j),2026-09-17,picking,2026-10-15,0,,,
7693,,SA Marer - AD Rochefort,SA Marer - AD Rochefort,SA Marer - AD Rochefort,Rue de Marche 59,5580,Rochefort,,,Actif,no-message,B,28,8,2852.41,237.7,2025-10-09,2026-09-01,23,01/09/2026 (23j),2026-09-01,picking,2026-09-29,0,,,
7283,Affilié 041335 - Ad Bouffioulx,Affilié 041335 - Ad Bouffioulx,Delhaize Le Lion S.A,Affilié 041335 - Ad Bouffioulx,"260, av E Vandervelde",6200,Chatelet,+32 71 38 59 34,looze24@hotmail.com,Actif,no-message,B,28,6,2834.67,236.22,2025-10-22,2026-08-04,51,04/08/2026 (51j),2026-09-14,comment_tag,2026-10-12,0,pas de réserve magasin,manuel — pas d'appareil pour rentrer la marchandise,pas de contrôle marchandise à l'entrée
116008,SA Beausov New - Delhaize Beauraing,SA Beausov New - Delhaize Beauraing,,SA Beausov New - Delhaize Beauraing,150 rue de Rochefort,5570,Beauraing,+32 82 71 36 97,Info@delhaize5570.be,Actif,no-message,B,28,7,2724.56,227.05,2025-11-26,2026-09-01,23,01/09/2026 (23j),2026-09-01,picking,2026-09-29,0,,,
10134,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,Chaussée de Huy 47,1325,Chaumont-Gistoux,+32 10 23 92 60,pdv09930@mousquetaires.com,Actif,no-message,B,28,9,2665.53,222.13,2025-09-29,2026-08-10,45,10/08/2026 (45j),2026-09-14,comment_tag,2026-10-12,0,NON — pas de réserve,NON — pas d'appareil pour rentrer la marchandise,contrôle marchandise OUI — contact Céline
2811,BARVO S.A. - Carrefour Market Barvaux,BARVO S.A. - Carrefour Market Barvaux,,BARVO S.A. - Carrefour Market Barvaux,"Route de Marche, 26",6940,Barvaux/Ourthe,086 21 13 79,nathalie.warnier@arcadesa.be,Actif,no-message,B,28,7,2664.57,222.05,2025-10-20,2026-09-22,2,22/09/2026 (2j),2026-09-22,picking,2026-10-20,0,,,
2979,HODICA SA - Carrefour Market Hotton,HODICA SA - Carrefour Market Hotton,,HODICA SA - Carrefour Market Hotton,Rue de la Jonction 16,6990,HOTTON,084 46 73 44,carrefour.market.hotton@gmail.com,Actif,no-message,B,28,8,2631.66,219.3,2025-10-02,2026-09-22,2,22/09/2026 (2j),2026-09-22,picking,2026-10-20,0,,,
113216,Dynamic Food SRL - Spar Louvain-La-Neuve,Dynamic Food SRL - Spar Louvain-La-Neuve,,Dynamic Food SRL - Spar Louvain-La-Neuve,rue Charlemagne 7,1348,Louvain-la-Neuve,+32 10 86 03 94,spar.louvainlaneuve@gmail.com,Actif,warning,B,28,5,2607.14,217.26,2025-10-03,2026-09-14,10,14/09/2026 (10j),2026-09-14,picking,2026-10-12,0,NON — pas de réserve,NON — pas d'appareil pour rentrer la marchandise,contrôle marchandise NON
124364,Luana Stolfo,Luana Stolfo,Centrale Intermarché,Centrale Intermarché,"Rue du Colombier, 9",6041,Gosselies,+32 71 25 72 65,luana.stolfo@mousquetaires.com,Actif,warning,B,28,14,2597.85,216.49,2026-06-10,2026-09-23,1,23/09/2026 (1j),2026-09-23,picking,2026-10-21,0,,,
5653,Affilié 048755 - Delhaize St Lambert,Affilié 048755 - Delhaize St Lambert,Delhaize Le Lion S.A,Affilié 048755 - Delhaize St Lambert,Rue d'official 2,,Liège,042 22 09 90,Julien.Dosin@affiliatesdelhaize.be,Actif,no-message,B,28,5,2559.38,213.28,2025-11-05,2026-07-08,78,08/07/2026 (78j),2026-09-11,comment_tag,2026-10-09,0,,,
9461,Affilié 048665 - Proxy Delhaize St Michel,Affilié 048665 - Proxy Delhaize St Michel,Delhaize Le Lion S.A,Affilié 048665 - Proxy Delhaize St Michel,Rue de l'Escadron 45,1040,Etterbeek,+32 2 733 51 66,roxy.proxysaintmichel@gmail.com,Actif,no-message,B,28,8,2512.12,209.34,2025-10-29,2026-07-30,56,30/07/2026 (56j),2026-09-08,comment_tag,2026-10-06,0,,,
