pid,magasin,zip,city,street,phone,mobile,email,contact_name,contact_function,contact_phone,contact_email,dist_km,dist_src,n_refs,so_count_12m,revenue_12m,avg_mois,last_order,days_since,median_interval,target_interval,cadence_src,next_call,overdue_days,urgency,last_refus,last_nrp,impl_date,suivi_impl,reason,top_products,notes
3274,V2V Express Two - Carrefour Express Lasne,1380,Lasne,Route de l'Etat 47,+32 2 378 14 44,,lasnedistribution@gmail.com,Carrefour Express 1314,,02 633 11 90,comptabilite.expresslasne@gmail.com,75,zip,3,1,116,10,2026-03-25,145,,28,demarrage (1 cmd),2026-07-23,25,1.89,2026-06-25,2026-08-14,,,petit assortiment + eloigne,[I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0878] Guarana Boost (20 infusettes) (x6); [I0669] Vert Jasmin (20 infusettes) (x4),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Express 1314 Lasne Contact merchandiser: Marie Van Vyve [APPEL 2026-06-17 NRP] [APPEL 2026-06-25 REFUS] [APPEL 2026-08-14 NRP] (RAPPELER - note Vanessa)
125070,Delhaize Warmonceau,6000,Charleroi,Grand’Rue 294,+32 71 71 12 62,,ad.warmonceau@groupturk.be,Contact merchandising : Vanessa ou Vincent,,+32 71 71 12 62,ad.warmonceau@groupturk.be,65,zip,8,1,301,25,2026-07-07,41,,28,suivi implantation J+15,2026-07-24,24,1.46,,,2026-07-09,1,petit assortiment + eloigne,[GI0735] Pêche de Vigne - BIO glacée (x12); [GI0832] La Nana de Wépion glacée (x12); [EM0072] SRP Kraft Horeca (x8); [GI0634] Gourmandise glacée (x6); [GI0820] Marrakech Sunset - BIO glacé (x6); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x6); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6); [EM0107] Display Teatower GMS - 8 produits 2026 (x1),[IMPL 2026-07-09] (implantation merch Gilles - tag pose retroactivement 17/08)
124572,Spar Clavier,4560,Clavier,Rue de la gendarmerie 70,+32 85 21 12 77,,spar.clavier@icloud.com,Jean Delmotte,,+32 85 21 12 77,spar.clavier@icloud.com,14,zip,9,3,700,58,2026-07-13,35,12.0,14,historique resserre,2026-07-27,21,2.5,,2026-08-12,,,petit assortiment,[GI0735] Pêche de Vigne - BIO glacée (x24); [GI0832] La Nana de Wépion glacée (x24); [GI0820] Marrakech Sunset - BIO glacé (x18); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x18); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x18); [GI0634] Gourmandise glacée (x8); [EM0072] SRP Kraft Horeca (x8); [TRANSPORT] TRANSPORT (x1),[APPEL 2026-08-12 NRP] (RAPPELER SEMAINE PRO CAR PAS DE RESPONSABLE - note Vanessa)
114763,Lillodis SRL - Proxy Delhaize Lillois,1428,Lillois,Grand’Route 350,+32 2 384 48 83,,proxylillois@gmail.com,,,+32 2 384 48 83,proxylillois@gmail.com,79,zip,12,5,887,74,2026-06-05,73,37.5,28,historique resserre,2026-07-31,17,1.61,2026-07-03,,,,eloigne,[I0205] Etoiles filantes (20 infusettes) (x20); [I0751] I love you (20 infusettes) (x16); [I0279] Le panier de grand maman (20 infusettes) (x14); [I0631] Le thé des amoureux (20 infusettes) (x12); [V0891] Trésor des lutins (100 g vrac) (x12); [V0732] Gourmandise de Noël (100 g vrac) (x11); [V0803] Le thé de la Mère Noël (100 g vrac) (x11); [I0880] Blue Earl Grey BIO (20 infusettes) (x8),[APPEL 2026-07-03 REFUS] (Vanessa télévente — programmation de rdv avec Jérôme) --- Remarques merchandiser (import Sheet) --- 📍 Proxy Delhaize lillois Contact merchandiser: Mme Céline Vandamme --- [APPEL ONLY — NE PAS VISITER — décision Nicolas 2026-05-20] --- Magasin trop petit pour justifier visit
2994,Intermarché Forest - FREYARVOR,1190,Forest,Chaussée D'alsemberg 303 309,023464614,,PDV09842@mousquetaires.com,,,023464614,PDV09842@mousquetaires.com,92,zip,17,3,804,67,2026-07-01,47,101.5,35,historique resserre,2026-08-05,12,1.34,,2026-08-14,,,eloigne,[GI0832] La Nana de Wépion glacée (x10); [V0914] Infusion du Printemps 2026 (x10); [I0669] Vert Jasmin (20 infusettes) (x8); [I0600] La lampe merveilleuse (20 infusettes) (x8); [I0751] I love you (20 infusettes) (x8); [I0832] La Nana de Wépion (20 infusettes) (x8); [V0711] Offrande des Rois Mages (100 g vrac) (x8); [V0803] Le thé de la Mère Noël (100 g vrac) (x8),[APPEL 2026-08-14 NRP] (RAPPELER SEMAINE PRO - note Vanessa)
123035,Gmp La Louvière - Delhaize La Louvière,7100,La Louvière,Rue de la Franco-Belge 228,+32 64 44 44 08,,chef44686@delhaize.be,Micha,,+32 64 44 44 08,floreal.micha@delhaize-lalouviere.be,85,zip,14,1,480,40,2026-04-20,119,,28,demarrage (1 cmd),2026-08-11,6,1.21,2026-07-14,2026-08-14,,,eloigne,[EM0072] SRP Kraft Horeca (x11); [I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0631] Le thé des amoureux (20 infusettes) (x6); [I0880] Blue Earl Grey BIO (20 infusettes) (x6); [I0751] I love you (20 infusettes) (x6); [I0878] Guarana Boost (20 infusettes) (x6); [I0635] Silhouette (20 infusettes) (x6); [I0735] Pêche de vigne - BIO (20 infusettes) (x6),Client GMS 15/04/2026 [APPEL 2026-06-11 REFUS] (note Vanessa chatter) [APPEL 2026-07-09 NRP] — La Louvière — injoignable 09/07 [APPEL 2026-07-14 REFUS] (refus - note Vanessa) [APPEL 2026-08-14 NRP]
124642,Affilié 043102 - Delhaize Flémalle,4400,Flémalle,Grand Route 299,+32 4 233 88 37,,ad.flemalle@hotmail.com,,,+32 4 233 88 37,ad.flemalle@hotmail.com,35,zip,8,1,303,25,2026-06-22,56,,28,demarrage (1 cmd),2026-08-11,6,1.21,2026-07-14,,2026-06-22,,petit assortiment,[GI0735] Pêche de Vigne - BIO glacée (x12); [GI0832] La Nana de Wépion glacée (x12); [EM0072] SRP Kraft Horeca (x8); [GI0634] Gourmandise glacée (x6); [GI0820] Marrakech Sunset - BIO glacé (x6); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x6); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6); [EM0107] Display Teatower GMS - 8 produits 2026 (x1),Mr Steve – Contact merchandiser [APPEL 2026-07-06 REFUS] (refus - note Vanessa) [APPEL 2026-07-14 REFUS] (refus - note Vanessa)
124182,Affilié 049205 - Delhaize Tubize,1480,Tubize,"Rue de la Déportation, 61",+32 2 355 42 60,,adtubize@gmail.com,,,+32 2 355 42 60,adtubize@gmail.com,92,zip,16,2,998,83,2026-07-14,34,40,30,historique resserre,2026-08-13,4,1.13,2026-06-17,,,,eloigne,[GI0832] La Nana de Wépion glacée (x24); [EM0072] SRP Kraft Horeca (x16); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x12); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x12); [I0631] Le thé des amoureux (20 infusettes) (x12); [I0880] Blue Earl Grey BIO (20 infusettes) (x12); [I0301] Tisane tropicale (20 infusettes) (x12); [GI0735] Pêche de Vigne - BIO glacée (x12),Pas de visite ni implantation le vendredi [APPEL 2026-06-17 REFUS]
5443,Affilié 041341 - AD Delhaize Filature,,Braine-le-Château,Rue de Tubize 102,02 204 56 40,,Adfilature@courcellesgroup.be,,,02 204 56 40,Adfilature@courcellesgroup.be,87,city,14,4,788,66,2026-03-25,145,59,35,historique resserre,2026-08-13,4,1.11,2026-07-09,2026-07-09,,,eloigne,[V0732] Gourmandise de Noël (100 g vrac) (x15); [V0891] Trésor des lutins (100 g vrac) (x10); [V0905] Un Noël Vanillé (x10); [GI0735] Pêche de Vigne - BIO glacée (x10); [GI0820] Marrakech Sunset - BIO glacé (x9); [I0669] Vert Jasmin (20 infusettes) (x8); [I0878] Guarana Boost (20 infusettes) (x8); [I0735] Pêche de vigne - BIO (20 infusettes) (x8),[APPEL 2026-07-03 NRP] (Vanessa télévente) --- Remarques merchandiser (import Sheet) --- 📍 AD Delhaize Filature Contact merchandiser: Mme Dubois Morgane [APPEL 2026-06-24 NRP] rappel Mr Beaufays [APPEL 2026-07-09 REFUS] — AD Filature — retel début août (changement de rayon) [APPEL 2026-07-06 NRP] (r
124180,Affilié 049015 - Proxy Delhaize Tihange,4500,Huy,Avenue de l'industrie 26,+32 85 25 29 39,,delhaizetihange@yahoo.fr,,,+32 85 25 29 39,delhaizetihange@yahoo.fr,26,zip,9,2,624,52,2026-07-14,34,40,30,historique resserre,2026-08-13,4,1.13,2026-06-17,,,,petit assortiment,[D011] Gobelet dégustation (x200); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x31); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x31); [GI0735] Pêche de Vigne - BIO glacée (x13); [GI0832] La Nana de Wépion glacée (x13); [EM0072] SRP Kraft Horeca (x8); [GI0634] Gourmandise glacée (x7); [GI0820] Marrakech Sunset - BIO glacé (x7),"--- Remarques merchandiser (maj 2026-06-04) --- 📍 Proxy Delhaize Tihange Nouveau client (lead #179 gagne 02/06/2026). 1re implantation 11/06/2026. Horaires : lun 10:00-18:45, mar-sam 09:00-18:45, dim ferme. [APPEL 2026-06-17 REFUS]"
124148,Spar Beauvechain,1320,Beauvechain,Rue du Village 2,+32 10 86 60 37,,spar.beauvechain@gmail.com,Mr Sébastien Wautié,,+32 10 86 60 37,spar.beauvechain@gmail.com,68,zip,10,1,348,29,2026-06-04,74,,28,demarrage (1 cmd),2026-08-14,3,1.11,2026-07-17,2026-08-12,2026-06-04,,petit assortiment + eloigne,[EM0072] SRP Kraft Horeca (x8); [GI0735] Pêche de Vigne - BIO glacée (x6); [GI0832] La Nana de Wépion glacée (x6); [GI0820] Marrakech Sunset - BIO glacé (x6); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6); [I0832] La Nana de Wépion (20 infusettes) (x6); [I0631] Le thé des amoureux (20 infusettes) (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6),[APPEL 2026-06-17 REFUS] [APPEL 2026-07-14 NRP] (injoignable - note Vanessa) [APPEL 2026-07-17 REFUS] (car veut réassort des glacés - note Vanessa) [APPEL 2026-08-04 NRP] [APPEL 2026-08-12 NRP]
2905,DEMARS S.A.  - Carrefour Market Beauraing,5570,BEAURAING,"Rue de Rochefort, 37",082/71 02 30,,celine.magis@groupedemars.be,Mail magasin,,082/71 02 30,carrefourmarketbeauraing@gmail.com,36,zip,58,11,7516,626,2026-07-27,21,29.0,22,historique resserre,2026-08-18,-1,0.95,2026-07-17,,,,bascule televente (decision Nicolas),[I0832] La Nana de Wépion (20 infusettes) (x49); [I0628] Oasis du désert - BIO (20 infusettes) (x43); [I0729] Relax BIO (20 infusettes) (x42); [V0279] Le panier de grand maman (80 g vrac) (x39); [I0253] Voyage à Venise (20 infusettes) (x33); [I0634] Gourmandise (20 infusettes) (x33); [I0880] Blue Earl Grey BIO (20 infusettes) (x32); [V0895] Matcha japonais (x31),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Beauraing Contact merchandiser: THERESE Personne responsable du rayon Alison. Personne de contact : Christelle ou Alison. [APPEL 2026-07-17 REFUS]
8683,Hyper Carrefour Waterloo Mt-St-Jean - 5400102604598,1410,Waterloo,Chaussée de Charleroi 579,+32 2 389 27 11,,,,,+32 2 389 27 11,,81,zip,19,4,1573,131,2026-07-14,34,105,35,historique resserre,2026-08-18,-1,0.97,,,,,eloigne,[GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x60); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x48); [EM0072] SRP Kraft Horeca (x16); [I0121] Lady Dodo (20 infusettes) (x12); [GI0634] Gourmandise glacée (x12); [I0628] Oasis du désert - BIO (20 infusettes) (x12); [I0631] Le thé des amoureux (20 infusettes) (x12); [I0880] Blue Earl Grey BIO (20 infusettes) (x12),
122995,Micamik SRL - Spar Godinne,5530,Godinne,Rue de Mont 13,+32 82 61 27 50,,spargodinne@icloud.com,Dussart Sylvain,gérant,+32 82 61 27 50,spargodinne@icloud.com,29,zip,9,2,830,69,2026-06-08,70,47,35,historique resserre,2026-08-18,-1,0.97,2026-07-14,,,,petit assortiment,[GI0832] La Nana de Wépion glacée (x30); [EM0072] SRP Kraft Horeca (x25); [GI0820] Marrakech Sunset - BIO glacé (x24); [GI0735] Pêche de Vigne - BIO glacée (x24); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x24); [GI0634] Gourmandise glacée (x12); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x12); [V0914] Infusion du Printemps 2026 (x12),Client GMS 14/04/2026 [APPEL 2026-07-14 REFUS] (refus - note Vanessa)
122589,Carrefour Market Wellin,6920,Wellin,"Rue de la Station, 32",+32 84 38 92 96,,carrefourwellin@gmail.com,,,+32 84 38 92 96,carrefourwellin@gmail.com,30,zip,10,2,644,54,2026-07-14,34,106,35,historique resserre,2026-08-18,-1,0.97,2026-06-09,2026-07-09,,,petit assortiment,[I0751] I love you (20 infusettes) (x16); [I0279] Le panier de grand maman (20 infusettes) (x16); [V0628] Oasis du désert - BIO (100 g vrac) (x10); [I0880] Blue Earl Grey BIO (20 infusettes) (x10); [V0631] Le thé des amoureux (80 g vrac) (x10); [V0735] Pêche de vigne - BIO (100 g vrac) (x10); [I0735] Pêche de vigne - BIO (20 infusettes) (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6),"--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Wellin Contact merchandiser: Gwenaëlle Trousse Ok pour le suivi merchandiser demander Gwenaëlle. Jour fixe dans son horaire le lundi et vendredi [APPEL 2026-06-09 REFUS] (note Vanessa chatter) [APPEL 2026-07-09 NRP] — Wellin — retel, d"
124638,Delhaize Visé,4600,Visé,Route de Dalhem 15,+32 4 379 85 41,,secretariat@ad-delhaizevise.be,Elisa ou Laurine – Contact merchandiser,,+32 4 379 85 41,secretariat@ad-delhaizevise.be,57,zip,9,3,1016,85,2026-08-05,12,22.0,16,historique resserre,2026-08-21,-4,0.75,,2026-07-17,,,petit assortiment,[D011] Gobelet dégustation (x200); [GI0832] La Nana de Wépion glacée (x49); [GI0735] Pêche de Vigne - BIO glacée (x31); [GI0634] Gourmandise glacée (x25); [GI0820] Marrakech Sunset - BIO glacé (x25); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x25); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x13); [EM0072] SRP Kraft Horeca (x8),[APPEL 2026-07-06 NRP] (injoignable - note Vanessa) [APPEL 2026-07-17 NRP]
124363,Centrale Intermarché,1348,Ottignies-Louvain-la-Neuve,Rue du Bosquet 4,,,factures_belgique@mousquetaires.com,,,,factures_belgique@mousquetaires.com,66,zip,5,8,2043,170,2026-08-11,6,8,14,historique resserre,2026-08-25,-8,0.43,,,,,petit assortiment + eloigne,[SRPV0279] SRP 6x V0279 - Panier de grand maman VRAC (x21); [SRPV0631] SRP 6x V0631 - Thé des amoureux VRAC (x12); [SRPV0880] SRP 6x V0880 - Blue Earl grey BIO VRAC (x11); [SRPV0735] SRP 6x V0735 - Pêches de Vignes BIO VRAC (x10); [TRANSPORT] TRANSPORT (x6),"Attention = 37.5%, pas 30% ATTENTION LIVRAISON : Livreur doir passer par la loge de garde et livrer à la réception de l'entrepôt !"
122466,Hyper Carrefour Gosselies - 5400102606455,6041,Gosselies,Da Vincilaan 3,+32 71 25 06 12,,,Vincent,,+32 71 25 06 12,,67,zip,19,2,834,70,2026-06-08,70,66,35,historique resserre,2026-08-31,-14,0.6,2026-07-27,2026-08-10,,,eloigne,[EM0072] SRP Kraft Horeca (x16); [I0631] Le thé des amoureux (20 infusettes) (x12); [I0279] Le panier de grand maman (20 infusettes) (x12); [I0121] Lady Dodo (20 infusettes) (x12); [I0735] Pêche de vigne - BIO (20 infusettes) (x12); [I0600] La lampe merveilleuse (20 infusettes) (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0751] I love you (20 infusettes) (x6),--- Remarques merchandiser (import Sheet) --- 📍 Hyper Carrefour Gosselies Contact merchandiser: Vincent Ok pour le suivi merchandiser demander Vincent- ou Benjamin. Passage de 8h à 12h [APPEL 2026-07-14 NRP] (rappeler demain avant-midi - note Vanessa) [APPEL 2026-07-17 REFUS] [APPEL 2026-07-27 REFUS
123844,Louis Delhaize - Haversin,5590,Haversin,Rue de Barvaux 141,+32 83 69 95 01,,cyanar@live.be,,,+32 83 69 95 01,cyanar@live.be,16,zip,9,2,569,47,2026-06-24,54,35,26,historique resserre,2026-08-31,-14,0.46,2026-08-05,2026-08-12,,,petit assortiment,[GI0820] Marrakech Sunset - BIO glacé (x18); [GI0735] Pêche de Vigne - BIO glacée (x18); [GI0832] La Nana de Wépion glacée (x12); [GI0634] Gourmandise glacée (x12); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x12); [V0914] Infusion du Printemps 2026 (x12); [EM0072] SRP Kraft Horeca (x8); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6),[APPEL 2026-07-17 REFUS] [APPEL 2026-08-05 REFUS] [APPEL 2026-08-12 NRP] (Rappeler demain - note Vanessa)
123966,Intermarché Mons,7000,Mons,Chemin de la Procession 399,+32 65 39 48 11,+32 476 94 08 72,pdv95019@mousquetaires.com,Guerino Bruno,,+32 65 39 48 11,loregueri@gmail.com,100,zip,10,3,510,42,2026-07-13,35,24.0,18,historique resserre,2026-09-01,-15,0.17,2026-08-14,2026-06-15,,,petit assortiment + eloigne,[GI0832] La Nana de Wépion glacée (x19); [GI0634] Gourmandise glacée (x19); [GI0820] Marrakech Sunset - BIO glacé (x17); [EM0072] SRP Kraft Horeca (x8); [GI0735] Pêche de Vigne - BIO glacée (x7); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x7); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x7); [EM0107] Display Teatower GMS - 8 produits 2026 (x2),[APPEL 2026-06-15 NRP] (rappeler demain - note Vanessa) [APPEL 2026-08-14 REFUS]
