pid,magasin,zip,city,street,phone,mobile,email,contact_name,contact_function,contact_phone,contact_email,dist_km,dist_src,n_refs,so_count_12m,revenue_12m,avg_mois,last_order,days_since,median_interval,target_interval,cadence_src,next_call,overdue_days,urgency,last_refus,last_nrp,impl_date,suivi_impl,reason,priorite,top_products,notes
124365,Carrefour market Courcelles,6180,Courcelles,Rue Philippe Monnoyer 62,+32 71 45 22 82,,crfcourcelles@gmail.com,Arnaud Zimmer,Gérant,+32 71 45 22 82,crfcourcelles@gmail.com,71,zip,16,1,650,54,2026-06-10,106,,28,demarrage (1 cmd),2026-07-08,78,3.79,,,,,eloigne,,[EM0072] SRP Kraft Horeca (x16); [GI0735] Pêche de Vigne - BIO glacée (x12); [GI0832] La Nana de Wépion glacée (x12); [GI0634] Gourmandise glacée (x6); [GI0820] Marrakech Sunset - BIO glacé (x6); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x6); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6),
3180,Pharmacie Bia SRL - Fabienne BIA,4180,COMBLAIN-LA-TOUR,Rue de Fairon 49-1,0473 33 07 68,,sissibia@hotmail.com,,,0473 33 07 68,sissibia@hotmail.com,23,zip,26,2,964,80,2026-06-16,100,249,35,historique resserre,2026-07-21,65,2.86,,,,,bascule televente (decision Nicolas),,[I0617] Liberté (20 infusettes) (x15); [C0187] Coffret découverte de Noël 2025 (x12); [C0185] Coffret cacahuète Infusion 2025 (x12); [C0186] Coffret cacahuète Thé 2025 (x12); [V0631] Le thé des amoureux (80 g vrac) (x8); [V0913] Féérie d'Hivers (x6); [V0905] Un Noël Vanillé (x6); [V0732] Gourmandise de Noël (100 g vrac) (x6),
6598,Carrefour Market Boondael - 5400102101172,1050,Ixelles,Chaussée de Boondael 444,+32 2 627 05 11,,NICOLAS_DEHON@CARREFOUR.COM,,,+32 2 627 05 11,NICOLAS_DEHON@CARREFOUR.COM,91,zip,18,3,1692,141,2026-06-18,98,47.0,35,historique resserre,2026-07-23,63,2.8,,2026-08-12,,,eloigne,,[I0600] La lampe merveilleuse (20 infusettes) (x18); [V0895] Matcha japonais (x18); [I0121] Lady Dodo (20 infusettes) (x12); [I0205] Etoiles filantes (20 infusettes) (x12); [I0279] Le panier de grand maman (20 infusettes) (x12); [I0868] Citron meringué (20 infusettes) (x12); [I0628] Oasis du désert - BIO (20 infusettes) (x12); [I0631] Le thé des amoureux (20 infusettes) (x12),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Boondael Contact merchandiser: Nicolas Dehon Demande des flyers des mise en avant pour développer les ventes. Voir mail du 07/03/2026 [APPEL 2026-08-12 NRP] (RAPPELER DANS 15 MIN - note Vanessa)
123345,BLONFOOD SA - Intermarché Liège Blonden,4000,Liège,Avenue Blonden 26,+32 4 229 34 98,,PDV09874@MOUSQUETAIRES.COM,,,+32 4 229 34 98,PDV09874@MOUSQUETAIRES.COM,43,zip,7,1,442,37,2026-04-30,147,,28,demarrage (1 cmd),2026-07-23,63,3.25,2026-06-25,2026-08-14,,,petit assortiment,,[V0914] Infusion du Printemps 2026 (x10); [GI0820] Marrakech Sunset - BIO glacé (x10); [GI0832] La Nana de Wépion glacée (x10); [GI0735] Pêche de Vigne - BIO glacée (x10); [GI0634] Gourmandise glacée (x10); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x10); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x10),[APPEL 2026-06-15 NRP] (display pas encore installe - impl Gilles 18/06) [APPEL 2026-06-25 REFUS] [APPEL 2026-08-06 NRP] [APPEL 2026-08-14 NRP]
3274,V2V Express Two - Carrefour Express Lasne,1380,Lasne,Route de l'Etat 47,+32 2 378 14 44,,lasnedistribution@gmail.com,Carrefour Express 1314,,02 633 11 90,comptabilite.expresslasne@gmail.com,75,zip,3,1,116,10,2026-03-25,183,,28,demarrage (1 cmd),2026-07-23,63,3.25,2026-06-25,2026-08-14,,,petit assortiment + eloigne,,[I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0878] Guarana Boost (20 infusettes) (x6); [I0669] Vert Jasmin (20 infusettes) (x4),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Express 1314 Lasne Contact merchandiser: Marie Van Vyve [APPEL 2026-06-17 NRP] [APPEL 2026-06-25 REFUS] [APPEL 2026-08-14 NRP] (RAPPELER - note Vanessa)
3179,Pharmacie Badot,4520,Vinalmont,214 ch de Tirlemont,085/211869,,pharmacie.badot@skynet.be,Badot,,085/211869,f.badot@skynet.be,30,zip,64,7,2195,183,2026-07-01,85,41.0,31,historique resserre,2026-08-01,54,2.74,,,,,bascule televente (decision Nicolas),,[GI0820] Marrakech Sunset - BIO glacé (x17); [GI0832] La Nana de Wépion glacée (x17); [GI0735] Pêche de Vigne - BIO glacée (x17); [V0832] La Nana de Wépion (100 g vrac) (x16); [C0184] Calendrier de l'avent 2025 (x13); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x10); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion² (x10); [GI0634] Gourmandise glacée (x10),
123035,Gmp La Louvière - Delhaize La Louvière,7100,La Louvière,Rue de la Franco-Belge 228,+32 64 44 44 08,,chef44686@delhaize.be,Micha,,+32 64 44 44 08,floreal.micha@delhaize-lalouviere.be,85,zip,14,1,480,40,2026-04-20,157,,28,demarrage (1 cmd),2026-08-11,44,2.57,2026-07-14,2026-08-14,,,eloigne,,[EM0072] SRP Kraft Horeca (x11); [I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0631] Le thé des amoureux (20 infusettes) (x6); [I0880] Blue Earl Grey BIO (20 infusettes) (x6); [I0751] I love you (20 infusettes) (x6); [I0878] Guarana Boost (20 infusettes) (x6); [I0635] Silhouette (20 infusettes) (x6); [I0735] Pêche de vigne - BIO (20 infusettes) (x6),Client GMS 15/04/2026 [APPEL 2026-06-11 REFUS] (note Vanessa chatter) [APPEL 2026-07-09 NRP] — La Louvière — injoignable 09/07 [APPEL 2026-07-14 REFUS] (refus - note Vanessa) [APPEL 2026-08-14 NRP]
124182,Affilié 049205 - Delhaize Tubize,1480,Tubize,"Rue de la Déportation, 61",+32 2 355 42 60,,adtubize@gmail.com,,,+32 2 355 42 60,adtubize@gmail.com,92,zip,16,2,998,83,2026-07-14,72,40,30,historique resserre,2026-08-13,42,2.4,2026-06-17,,,,eloigne,,[GI0832] La Nana de Wépion glacée (x24); [EM0072] SRP Kraft Horeca (x16); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x12); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x12); [I0631] Le thé des amoureux (20 infusettes) (x12); [I0880] Blue Earl Grey BIO (20 infusettes) (x12); [I0301] Tisane tropicale (20 infusettes) (x12); [GI0735] Pêche de Vigne - BIO glacée (x12),Pas de visite ni implantation le vendredi [APPEL 2026-06-17 REFUS]
2905,DEMARS S.A.  - Carrefour Market Beauraing,5570,BEAURAING,"Rue de Rochefort, 37",082/71 02 30,,celine.magis@groupedemars.be,Mail magasin,,082/71 02 30,carrefourmarketbeauraing@gmail.com,36,zip,58,10,6855,571,2026-07-27,59,29,22,historique resserre,2026-08-18,37,2.68,2026-07-17,,,,bascule televente (decision Nicolas),,[I0832] La Nana de Wépion (20 infusettes) (x43); [I0729] Relax BIO (20 infusettes) (x42); [I0628] Oasis du désert - BIO (20 infusettes) (x37); [V0279] Le panier de grand maman (80 g vrac) (x34); [I0253] Voyage à Venise (20 infusettes) (x33); [I0634] Gourmandise (20 infusettes) (x33); [I0880] Blue Earl Grey BIO (20 infusettes) (x32); [I0841] Lacquemant liégeois (20 infusettes) (x28),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Beauraing Contact merchandiser: THERESE Personne responsable du rayon Alison. Personne de contact : Christelle ou Alison. [APPEL 2026-07-17 REFUS]
8683,Hyper Carrefour Waterloo Mt-St-Jean - 5400102604598,1410,Waterloo,Chaussée de Charleroi 579,+32 2 389 27 11,,,,,+32 2 389 27 11,,81,zip,16,3,1254,105,2026-07-14,72,69.5,35,historique resserre,2026-08-18,37,2.06,,,,,eloigne,,[GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x54); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x48); [EM0072] SRP Kraft Horeca (x16); [GI0634] Gourmandise glacée (x12); [I0628] Oasis du désert - BIO (20 infusettes) (x12); [I0880] Blue Earl Grey BIO (20 infusettes) (x12); [GI0735] Pêche de Vigne - BIO glacée (x12); [I0121] Lady Dodo (20 infusettes) (x6),
122995,Micamik SRL - Spar Godinne,5530,Godinne,Rue de Mont 13,+32 82 61 27 50,,spargodinne@icloud.com,Dussart Sylvain,gérant,+32 82 61 27 50,spargodinne@icloud.com,29,zip,9,2,830,69,2026-06-08,108,47,35,historique resserre,2026-08-18,37,2.06,2026-07-14,,,,petit assortiment,,[GI0832] La Nana de Wépion glacée (x30); [EM0072] SRP Kraft Horeca (x25); [GI0820] Marrakech Sunset - BIO glacé (x24); [GI0735] Pêche de Vigne - BIO glacée (x24); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x24); [GI0634] Gourmandise glacée (x12); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x12); [V0914] Infusion du Printemps 2026 (x12),Client GMS 14/04/2026 [APPEL 2026-07-14 REFUS] (refus - note Vanessa)
122589,Carrefour Market Wellin,6920,Wellin,"Rue de la Station, 32",+32 84 38 92 96,,carrefourwellin@gmail.com,,,+32 84 38 92 96,carrefourwellin@gmail.com,30,zip,10,2,644,54,2026-07-14,72,106,35,historique resserre,2026-08-18,37,2.06,2026-06-09,2026-07-09,,,petit assortiment,,[I0751] I love you (20 infusettes) (x16); [I0279] Le panier de grand maman (20 infusettes) (x16); [V0628] Oasis du désert - BIO (100 g vrac) (x10); [I0880] Blue Earl Grey BIO (20 infusettes) (x10); [V0631] Le thé des amoureux (80 g vrac) (x10); [V0735] Pêche de vigne - BIO (100 g vrac) (x10); [I0735] Pêche de vigne - BIO (20 infusettes) (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6),"--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Wellin Contact merchandiser: Gwenaëlle Trousse Ok pour le suivi merchandiser demander Gwenaëlle. Jour fixe dans son horaire le lundi et vendredi [APPEL 2026-06-09 REFUS] (note Vanessa chatter) [APPEL 2026-07-09 NRP] — Wellin — retel, d"
122466,Hyper Carrefour Gosselies - 5400102606455,6041,Gosselies,Da Vincilaan 3,+32 71 25 06 12,,,Vincent,,+32 71 25 06 12,,67,zip,19,2,834,70,2026-06-08,108,66,35,historique resserre,2026-08-31,24,1.69,2026-07-27,2026-08-10,,,eloigne,,[EM0072] SRP Kraft Horeca (x16); [I0631] Le thé des amoureux (20 infusettes) (x12); [I0279] Le panier de grand maman (20 infusettes) (x12); [I0121] Lady Dodo (20 infusettes) (x12); [I0735] Pêche de vigne - BIO (20 infusettes) (x12); [I0600] La lampe merveilleuse (20 infusettes) (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0751] I love you (20 infusettes) (x6),--- Remarques merchandiser (import Sheet) --- 📍 Hyper Carrefour Gosselies Contact merchandiser: Vincent Ok pour le suivi merchandiser demander Vincent- ou Benjamin. Passage de 8h à 12h [APPEL 2026-07-14 NRP] (rappeler demain avant-midi - note Vanessa) [APPEL 2026-07-17 REFUS] [APPEL 2026-07-27 REFUS
123844,Louis Delhaize - Haversin,5590,Haversin,Rue de Barvaux 141,+32 83 69 95 01,,cyanar@live.be,,,+32 83 69 95 01,cyanar@live.be,16,zip,9,2,569,47,2026-06-24,92,35,26,historique resserre,2026-08-31,24,1.92,2026-08-05,2026-08-12,,,petit assortiment,,[GI0820] Marrakech Sunset - BIO glacé (x18); [GI0735] Pêche de Vigne - BIO glacée (x18); [GI0832] La Nana de Wépion glacée (x12); [GI0634] Gourmandise glacée (x12); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x12); [V0914] Infusion du Printemps 2026 (x12); [EM0072] SRP Kraft Horeca (x8); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6),[APPEL 2026-07-17 REFUS] [APPEL 2026-08-05 REFUS] [APPEL 2026-08-12 NRP] (Rappeler demain - note Vanessa)
123966,Intermarché Mons,7000,Mons,Chemin de la Procession 399,+32 65 39 48 11,+32 476 94 08 72,pdv95019@mousquetaires.com,Guerino Bruno,,+32 65 39 48 11,loregueri@gmail.com,100,zip,10,3,510,42,2026-07-13,73,24.0,18,historique resserre,2026-09-01,23,2.28,2026-08-14,2026-06-15,,,petit assortiment + eloigne,,[GI0832] La Nana de Wépion glacée (x19); [GI0634] Gourmandise glacée (x19); [GI0820] Marrakech Sunset - BIO glacé (x17); [EM0072] SRP Kraft Horeca (x8); [GI0735] Pêche de Vigne - BIO glacée (x7); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x7); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x7); [EM0107] Display Teatower GMS - 8 produits 2026 (x2),[APPEL 2026-06-15 NRP] (rappeler demain - note Vanessa) [APPEL 2026-08-14 REFUS]
3183,Pharmacie Tilman S.A. - Mikael Tilman,6941,BOMAL-SUR-OURTHE,Rue de Fleurie 1,086 21 11 71,0472 50 04 32,elise.laurent@pharmacietilman.be,Christine,,086 21 11 71,cosmetiques@pharmacietilman.be,15,zip,68,8,5469,456,2026-08-03,52,42,32,historique resserre,2026-09-04,20,1.62,,,,,bascule televente (decision Nicolas),,[I0279] Le panier de grand maman (20 infusettes) (x41); [C0184] Calendrier de l'avent 2025 (x26); [I0832] La Nana de Wépion (20 infusettes) (x25); [GI0735] Pêche de Vigne - BIO glacée (x24); [I0841] Lacquemant liégeois (20 infusettes) (x24); [C0187] Coffret découverte de Noël 2025 (x24); [C0185] Coffret cacahuète Infusion 2025 (x24); [V0617] Liberté (100 g vrac) (x23),"[VISITE 2026-09-01 Gilles] passage OK, pas de réassort"
8062,Carrefour Hyper Auderghem -5400102606158,1160,Auderghem,Bd du Souverain-Vorstlaan 240,+32 2 679 05 11,,josiane_bourcy@carrefour.com,,,+32 2 679 05 11,josiane_bourcy@carrefour.com,87,zip,11,3,931,78,2026-07-31,55,134.5,35,historique resserre,2026-09-04,20,1.57,,,,,eloigne,,[I0279] Le panier de grand maman (20 infusettes) (x18); [I0121] Lady Dodo (20 infusettes) (x12); [GI0832] La Nana de Wépion glacée (x12); [I0880] Blue Earl Grey BIO (20 infusettes) (x12); [GI0820] Marrakech Sunset - BIO glacé (x12); [GI0735] Pêche de Vigne - BIO glacée (x12); [I0301] Tisane tropicale (20 infusettes) (x12); [I0751] I love you (20 infusettes) (x12),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Hyper Auderghem Pas de visite le mardi ni le vendredi car madame Josiane Bourcy n'est pas présente. Plus de visite merchandiser. Madame Bourcy va gérer son rayon elle-même. Voir visite merchandiser du 11/03/2026
124727,Delhaize Montigny,6110,Montigny-le-Tilleul,Rue de Gozée 400,+32 71 56 22 73,,directionmlt@nolamanagement.be,Contact merchandising : Demander Valentine ou Philippe,,+32 71 56 22 73,directionmlt@nolamanagement.be,69,zip,8,2,527,44,2026-08-05,50,40,30,historique resserre,2026-09-04,20,1.67,,2026-07-14,,,petit assortiment + eloigne,,[GI0832] La Nana de Wépion glacée (x24); [GI0735] Pêche de Vigne - BIO glacée (x18); [GI0634] Gourmandise glacée (x12); [GI0820] Marrakech Sunset - BIO glacé (x12); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x12); [EM0072] SRP Kraft Horeca (x8); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x6); [EM0107] Display Teatower GMS - 8 produits 2026 (x1),[APPEL 2026-07-14 NRP] (injoignable - note Vanessa)
124701,Affilié 045070 - Proxy Delhaize Ma Campagne,1050,Ixelles,Chaussée de Waterloo 412G,+32 2 514 66 48,+32 483 35 74 27,david.ficette@gmail.com,,,+32 2 514 66 48,david.ficette@gmail.com,91,zip,15,2,1300,108,2026-08-05,50,42,32,historique resserre,2026-09-06,18,1.56,,2026-07-06,,,eloigne,,[GI0735] Pêche de Vigne - BIO glacée (x24); [GI0832] La Nana de Wépion glacée (x24); [GI0634] Gourmandise glacée (x24); [EM0072] SRP Kraft Horeca (x16); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x12); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x12); [I0628] Oasis du désert - BIO (20 infusettes) (x12); [I0631] Le thé des amoureux (20 infusettes) (x12),Contact merchandising : Luca ou Justin [APPEL 2026-07-06 NRP] — Ma Campagne — injoignable 06/07
125275,Carrefour Market Vielsalm,6690,Vielsalm,Les Grands Champs 38,+32 80 21 57 71,,carrefour.vielsalm@outlook.be,,,+32 80 21 57 71,carrefour.vielsalm@outlook.be,37,zip,10,1,337,28,2026-07-13,73,,28,demarrage (1 cmd),2026-09-07,17,1.61,2026-08-10,,2026-07-13,,petit assortiment,,[EM0072] SRP Kraft Horeca (x8); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x6); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x6); [I0628] Oasis du désert - BIO (20 infusettes) (x6); [I0631] Le thé des amoureux (20 infusettes) (x6); [I0880] Blue Earl Grey BIO (20 infusettes) (x6); [I0279] Le panier de grand maman (20 infusettes) (x6); [I0301] Tisane tropicale (20 infusettes) (x6),Contact merchandising : Audrey Bodson [APPEL 2026-07-27 REFUS] [APPEL 2026-08-03 REFUS] (ne se vend pas bien - note Vanessa) [APPEL 2026-08-10 REFUS] (ne se vend pas bien - note Vanessa)
